Method,N_samples,FP_Slope,FP_Intercept,FP_R2,Int_Slope,Int_Intercept,Int_R2,Blank_SD_cts,LOD_ppm,LOQ_ppm,Mean_CV_pct
pellet,12,3.0491,89.37,0.9951,1.9982,47.17,0.9981,3.75,5.6,18.8,6.1
powder,12,1.1763,89.96,0.92,0.6617,69.97,0.9129,3.26,14.8,49.3,9.3
