Metal,n,Mean_diff,SD_diff,LOA_lower,LOA_upper,CV_pct
Pb,37,-119.49921105186385,62.08663816455699,-241.18902185439555,2.190599750667843,51.95568875982852
Zn,37,-92.17915251394857,90.2240395624243,-269.01827005630014,84.65996502840304,97.87900745645452
Cu,37,-113.75232679525871,61.06582210366048,-233.44133811843324,5.93668452791583,53.68314110494815
