Base_ID,n_spectra,Slope_VIS,Slope_NIR,Slope_SWIR,Depth_480nm,Depth_530nm,Depth_670nm,Depth_870nm,Depth_1400nm,Depth_1900nm,Depth_2200nm,Depth_2300nm,Albedo_VIS,Albedo_NIR,Albedo_SWIR,Overall_albedo,Fe_index,Carbonate_index,Char_index
JPL02,1,0.6534803663772993,0.6600903007859368,-0.45929275473694847,0.002661037048848236,-0.0031621188861286065,0.00927277908447044,2.9527254721173346e-4,-0.004959390587271795,0.0037496639525869124,-0.0010950814231411865,0.014413331920480221,0.2965819189983896,0.3294625836226414,0.33601619038150893,0.32902126872611276,0.030994117842139866,-7.295194085730206e-4,0.6709787312738873
JPL03,1,1.4940359908874663,0.49039335721803545,0.04036791507272043,-3.302379876739536e-4,7.047630781782388e-4,-8.627990640874827e-4,-2.840971219180144e-4,0.005801095386953725,0.00434949332345691,0.0027453604819464017,0.004976739786460849,0.2549057510208761,0.29268601201578626,0.31755136061475586,0.299621810028389,0.028629272690204752,0.002752733971033483,0.700378189971611
JPL04,1,2.4926075652986053,1.6170040862591655,-0.028553769888502535,0.004002759668645606,0.001047730294841509,0.0028528177027197232,-0.0010069974074087273,0.001207520654270322,0.01150501909201418,0.005706985481285898,0.014692011081764766,0.15449387695504624,0.24760183804585256,0.31819325365134715,0.2702790681604085,0.10904387265734046,-0.003583076098007565,0.7297209318395915
JPL05,1,2.2024749802278536,1.1042047741097927,-0.2654264475366708,0.004263288235260121,-0.003678935390836191,0.015249589691067267,-0.0016089620830201934,-0.005449333052281569,0.011798632506885953,6.40232909048688e-4,0.007707804236990468,0.19214481819659315,0.27311946439515805,0.29668055358907175,0.2739676392611633,0.09679910569553823,0.0018968437029069918,0.7260323607388367
JPL06,1,0.7708658369661581,0.4020520103006017,-0.13082492847947746,-9.398091487733407e-4,-4.290601948548911e-4,-7.71752762099398e-4,-5.35177334636705e-4,-0.0019494622035289844,0.0032918880763423974,0.0018692196300668096,0.016843417421313234,0.1862038065557927,0.2136761962708022,0.2201102607244322,0.21327563534864083,0.03569940498544954,-0.007273403846004722,0.7867243646513592
JPL07,1,1.3813726565119264,1.9428201067744875,-0.1695755798694247,0.003029990358692447,0.001746808005350542,0.0024148043454528256,-0.0010841504397152146,-0.002809429180334,0.01297061472711758,0.004349137129611602,0.011353905104213413,0.13226397964850875,0.22219234980569122,0.2870167095976014,0.2431539636270429,0.13709825303068182,-0.0017860249024121977,0.7568460363729571
JPL08,1,1.0806519862826185,1.5635982094459402,-0.012520004735901808,0.0038557071227579565,0.001685230095244017,0.005407457388855397,-8.097025000233238e-4,-0.0024403351776025595,0.025872899367610613,0.0022206451631142654,0.013734630771518264,0.10527386541840214,0.17655981294986556,0.24178866683539946,0.19979683095509032,0.1341646298714891,-0.0019269529118619566,0.8002031690449096
JPL09,1,3.1519175996220916,2.9984071525924563,-1.1218190406915602,0.006358798771536223,0.004356269102614441,0.00711500084044514,-0.0017318742919725238,-0.013785399973284873,0.04092999838816025,-0.005172051729290361,0.019643041197471067,0.133229913628544,0.29694045465858754,0.3359193080142288,0.29616859539582613,0.2029424868627391,-0.003374620441615628,0.7038314046041738
JPL10,2,2.677288037323964,0.2784535049584577,-0.28879557909003073,-0.002105995704645147,-5.994938761673674e-4,-0.001034616275636946,-0.001136178967610424,0.0011425240139781856,0.006660991074627254,0.003001434575978401,0.004740029905093424,0.32140925267613785,0.37164333119283127,0.36062384411853476,0.35901455327365717,0.05360520292416246,0.0014739675731222923,0.6409854467263428
JPL11,1,2.1246983720080896,1.2492903447623827,-0.0340651435724417,0.002035133556367641,0.0013869195757587605,0.00536012539676789,-5.743760575902535e-4,0.0017526173577809834,0.009588860280220324,0.007018180686165554,0.010339556912392966,0.17183066880224995,0.2492231741934832,0.3011598921640614,0.26466929993157357,0.0879024797459368,-3.440120224273979e-4,0.7353307000684264
