Metal,N_pairs,r,p,Bias_ppm,Pct_bias,LOA_lower,LOA_upper
Pb,37,0.9901245263347582,1.845218512242415e-31,-813.1589298105404,-427.15202585315683,-5283.379362862714,3657.061503241633
Zn,37,0.9957775750443867,6.727267283522946e-38,-2576.3543064216215,-286.59387383008465,-13976.443550089409,8823.734937246167
Cu,37,0.9200219444092754,8.33199147125755e-16,-398.7356324754054,-364.0260059648227,-1317.9861537875568,520.514888836746
