Base_ID,CH_stretch_2920,CH_stretch_2850,CH_total,CO_carbonyl_1720,Aromatic_1600,Aromatic_1580,CO_stretch_1100,NH_stretch,NH_bend,Amide_I,CN_stretch,Nitrate_1380,Sulfate_1100,Sulfoxide_1040,CS_stretch,PO_1250,POC_1020,OH_stretch,Water_1630,Carbonate_1420,Carbonate_875,Silicate_1080,Silicate_800,Metal_oxide_500,Total_organic_C,Total_organic_N,Total_organic_S,Total_organic_P,Total_organic_CNSP,Weighted_CNSP,Organic_index_FTIR,Mineral_index_FTIR,CH_Silicate_ratio,Aromatic_Carbonate_ratio,Aliphatic_aromatic,Weighted_organic,Organic_mineral_ratio,CNSP_mineral_ratio,Char_index_FTIR,Pyrolysis_index,Combustion_index,Normalized_organic,Normalized_CNSP,CN_ratio,n_spectra
GPS02,0.023178307399634394,0.023569196702972535,0.023436104180291295,1.2108217924833298e-4,1.887187716507338e-5,0.034056633997421995,0.03379399300205941,0.024257758343892714,6.674320226715547e-5,-2.5554989966064534e-5,0.033917007943639506,1.0832385381771836e-4,0.0338805972465447,0.03363520421442531,0.030776666154941686,0.03392280681202045,0.033623201629290216,0.02436174342525754,0.03367429971694946,5.883923281103931e-5,1.3450675067447349e-4,0.03377114128894531,0.03216874422062011,0.029422018175514843,0.0235760582367047,0.024458380389943652,0.0982924676159117,0.06754600844131067,0.21387291468387074,0.12697000063747357,0.6945271957727455,0.03382998052175635,0.6939683790894832,0.3207362887561762,0.02345497605745637,0.047012162416995996,0.6968983686391051,6.321993432610085,8.052480489032719e-4,0.0059717287197887355,8.046001462053928e-4,0.411110890012331,0.8636303174882082,0.9639255691026162,1
GPS03,0.014713857443101944,0.015084804576491155,0.015158497092600625,1.1911221708245379e-5,1.463790291122008e-4,0.02778734718091213,0.027575663163089285,0.01571645083566827,1.3306547677324754e-4,1.0652102243442069e-4,0.027592968631100345,1.1231952036422355e-5,0.02752789140989383,0.027388634869740122,0.025174020861203853,0.02789885439695074,0.027344534531808816,0.015726419494167906,0.02753959285716216,1.631260740630816e-4,-2.453402128247961e-4,0.027541892244838752,0.026246158361789725,0.02414305257396056,0.015316787343421071,0.01596726928691236,0.0800905471408378,0.05524338892875956,0.16661799269993077,0.09386677668313483,0.555694430348405,0.027705018318901833,0.5503796528519667,0.8973367988712544,0.015304876121712826,0.030475284436021696,0.5528524531951363,6.014000452266625,0.009656566097416963,0.010442344637036147,0.009564208684089562,0.35737889012373497,0.8581483901647692,0.959261541106189,1
GPS05,0.04564866976391885,0.045809531163784764,0.04578698139924269,2.348855710946618e-4,2.351803261609331e-4,0.05482184485747264,0.053522887767529954,0.047579237025591636,-4.072583490791204e-7,-5.26053974261656e-5,0.05370910644724772,2.881305824432856e-5,0.05370116570875758,0.05329378694295883,0.050757125664788946,0.05387858294237118,0.05332621086675387,0.04777094585020185,0.054841846759830205,-1.699896172560264e-4,1.456698491459768e-4,0.05344963209846845,0.05196565841989858,0.04935624371640957,0.04625704729649829,0.04766106273961121,0.15775207831650534,0.10720479380912505,0.3588749821617399,0.22346600125709173,0.8610379514047646,0.05361962171572448,0.8566379150167186,1.3834981804019302,0.046022161725403625,0.09204402869574098,0.8626888033962566,6.6929786275701435,0.005136401635876851,0.010266365741755793,0.005110153833367559,0.46393127899948267,0.8703700185486921,0.9705416672980302,1
GPS09,0.024859640627138076,0.025497214688408758,0.02527105210062403,2.7753427051581403e-4,2.7111908864407147e-4,0.03633887850894378,0.035253126393346226,0.025976960997908347,-5.772036890829696e-5,-2.4408123527581982e-4,0.035439523203032355,-1.0074263083793139e-4,0.0353892000303382,0.03493542170950344,0.03195347264409065,0.03554174955934286,0.03493236420819393,0.026095199925096138,0.036028810732421424,1.2092128951823183e-4,1.9817834808706636e-5,0.035145735869613975,0.033437782455058324,0.030605241692123506,0.025819705459783914,0.026379505232930395,0.10227809438393229,0.07047411376753679,0.22495141884418338,0.135254268884319,0.7267502175520288,0.03526665715913221,0.7190360786405579,2.242112118753031,0.0255421711892681,0.05109075756040794,0.7321279514323906,6.378586374919087,0.01072844484529303,0.021710744648670063,0.010614567048160179,0.42351379563184594,0.8648745853898816,0.978778988908114,1
GPS15,0.021208458069351413,0.021477998444630254,0.02132721057233329,-8.202767572723924e-4,0.0049749779559317,0.07025583575551327,0.04450126657006787,0.022530080666465144,0.0012328862663238405,0.0012461806002717762,0.04623851552605629,5.932740334953224e-5,0.04518849243010793,0.04270727542184648,0.033145637394717105,0.049991656381350294,0.0424975583759638,0.0227304941430184,0.06955936196304503,-0.0015018636195529844,-2.8770612109275256e-4,0.043862437757735066,0.036884301918603125,0.030425992471953996,0.027122465285537384,0.025068474936410293,0.12104140524667151,0.09248921475731409,0.2657215602259333,0.15614104560283326,0.5996517720592638,0.04536430137728805,0.4862294861523576,3.3125364321778137,0.02630218852826499,0.048449675857870675,0.5978812516027511,5.857503635203531,0.23326904093053252,0.27173055255158324,0.1891469202490684,0.3820877978660266,0.8583181364559774,1.081935193678009,1
JPL06,0.03275218702131702,0.03291724021396329,0.032980143737334475,3.764213134463054e-4,2.444892057350684e-4,0.046820840726678185,0.04642121311204106,0.03358976852989966,-1.5438324020705663e-6,-1.238033605309649e-4,0.04659095619406019,-2.484443464449426e-4,0.04647553499255862,0.0462572370611486,0.044021193941052146,0.046878344021164454,0.04630362844237915,0.033590752937367574,0.04656308073373068,1.4301185165682684e-4,1.2123868578961527e-5,0.04638750342508921,0.04507005560610976,0.04304092083699428,0.03360105425651585,0.033963560069277636,0.13675396599475936,0.0931819724635436,0.29750055278409643,0.17685376463305416,0.7162410237645948,0.04653051527674604,0.7109704403599524,1.7095730381964984,0.03322463294306954,0.06658119799385032,0.7221294253173297,6.3936655550594015,0.007413224383807022,0.01882679845565637,0.007358672890502688,0.4200732608564471,0.8651087102691585,0.9893266250056719,1
JPL07,0.03819052009813247,0.039232672342369636,0.03894831634198244,2.7446713871680933e-4,2.714465594007842e-4,0.05605732678220822,0.05457917381735409,0.04042364185856235,4.658535603554309e-5,-1.5709155167524524e-4,0.05482750352133404,-1.4066846509064312e-4,0.05470843267227922,0.054292534078870504,0.050186691160958544,0.05519791362950435,0.054159827960225254,0.040583252276919314,0.05573887484414237,6.985252595416436e-5,-1.4611040907246825e-4,0.05450207682756277,0.052066199836276826,0.04848318683126798,0.03949423004010003,0.04076798723136378,0.15918765791210826,0.1093577415897296,0.3488076167733017,0.20871780516482247,0.7196012552965508,0.054571929353516936,0.7146207742726881,3.8859948970048883,0.03921976290138322,0.07844254638208248,0.7237096160602354,6.3917039566940375,0.0069694041975363035,0.014016361922406193,0.006921167781746347,0.4201678912311297,0.8648629633943271,0.96875594608007,1
JPL09,0.005489837528476792,0.006198546263359247,0.006065984628199098,2.9045945176711316e-4,1.3126093628151175e-4,0.01352876453445508,0.013256735697973008,0.005890296826199177,6.304050405179194e-5,-1.3878504530741471e-4,0.013345568319903566,-1.096165572692237e-4,0.013249098434157315,0.013512184976467065,0.012263072976985803,0.013373073996402897,0.013533884981790414,0.005900916668186009,0.013261064576605955,4.5271747137209245e-5,-4.320400988771893e-5,0.01329176939235857,0.012722074697237639,0.011607638327404857,0.006487705016247723,0.006201738932827608,0.03902435638761018,0.026906958978193313,0.07862075931487883,0.04225979553341404,0.4662468465668237,0.013337041139495779,0.4563714919464694,2.8994007208002635,0.0061972455644806095,0.01255368964444682,0.48644260360233077,5.894917657714534,0.02163885079288129,0.06952216563295636,0.021180528497019905,0.3280018913659729,0.8553867510848719,1.0461106290537987,1
JPL11,0.011704440739366316,0.012314800503513506,0.012211896210479047,2.9798428742931066e-4,1.97220815434343e-4,0.020349017702616178,0.019964787597749747,0.012326918368137652,-1.0320535230059699e-4,-1.8754959679567057e-4,0.02007701407585825,-4.010508502168275e-5,0.02003100465628363,0.019885119582925524,0.018290643759358387,0.020201982034800146,0.01979595236480236,0.012323587201535702,0.02016929474969705,-6.634438684540583e-5,-8.191097350348023e-5,0.01996619949260583,0.019086650306625024,0.017692537405169927,0.012707101313342701,0.012657778402255602,0.05820676799856754,0.0399979343996025,0.12356958211376834,0.07150299299577002,0.6215062125623313,0.020032543879451237,0.611628478168894,2.972682766575301,0.01240911702591339,0.024918997523821748,0.6343228992687869,6.168441854283029,0.016149892861446653,0.040551040913590256,0.015893219076143435,0.38891391441630024,0.8608974064226006,1.0038966483311407,1
JPL12,0.04098968832723556,0.040462041694310405,0.04098323840074814,1.3130724143523703e-4,2.7226035793622566e-4,0.04760035170385471,0.046151227153399414,0.04414515641908492,3.0463982012958468e-5,-1.6408048283595572e-4,0.04647167796244869,-2.5419105908697226e-5,0.04631159720676286,0.045758599326724096,0.04193308684401787,0.046944527313686334,0.045635488600685045,0.044480803454123835,0.04757547112447875,-2.844503427285039e-5,-1.7233104223295104e-5,0.04600103808423647,0.0434361087779204,0.03989866798600325,0.041386806000119604,0.04436511998984253,0.13400328337750483,0.09258001591437137,0.3123352252818383,0.19786282761369536,0.8968384296706057,0.04602948311850932,0.8909198598018635,9.571454733527494,0.04125549875868437,0.08237004440086773,0.8991368834962474,6.785547091147813,0.006643212409765442,0.009847137881717411,0.006599371383891325,0.473599119348552,0.8716260596900793,0.9328681182333145,1
