Metal,Intercept,log10_XRF,Organic,Fe2O3,Silicate,R_squared,Adj_R_squared
Pb,-0.7950854804332913,1.079738163802474,0.020125135471508657,-0.015505898251514159,0.004964863117646358,0.9195108944573738,0.9075865825251328
Zn,0.563773683432842,0.8516478490768262,0.03826394631723118,-0.04086633721270473,-0.06929997870050472,0.9570847835417463,0.9507269736960791
Cu,0.11601532610256413,0.9738862035272084,0.019327787768398684,-0.0420602483715615,-0.056022853157336426,0.8622273810721861,0.84181662271251
