Metal,Moran_I,p_value,Significant,Interpretation
Pb,0.45403213638460754,3.52828702785169e-10,TRUE,Strong positive clustering
Zn,0.6672882887041207,4.675795861008153e-17,TRUE,Strong positive clustering
Cu,0.23559713118806158,5.55549385666682e-4,TRUE,Weak positive clustering
As,-0.04064100424891248,0.5664675137246202,FALSE,Random (no pattern)
Fe,0.2465546450189537,5.606063125620705e-4,TRUE,Weak positive clustering
Ca,-0.06348084576801892,0.6733718721591094,FALSE,Random (no pattern)
