Metal,Median_EF,IQR,Min,Max,Pct_EF_gt_2,CV_pct
Pb,6.885086249659283,5.5-21,2.796796771132133,2558.9872058741184,100,324.2841790438037
Zn,10.187413326123304,5.5-49.4,2.6360325044993194,1545.3557607844143,100,276.5342902504197
Cu,4.581818917316003,3.5-19.3,1.4832297197096322,314.838081935152,97.43589743589743,237.32597611366342
Cr,0.9448434048649262,0.8-1.9,0.5345655639781999,27.60195961730319,23.076923076923077,194.41999782146132
Ni,1.1109160291948277,0.9-2.9,0.6128990581738805,112.62487733396364,30.76923076923077,307.23544629882053
