Metal,Carbonate_proxy,FeOx_proxy,Silicate_proxy,Clay_proxy,Sulfate_proxy,Phosphate_proxy,Char_index,Charash_fraction,XRF_organic_proxy
Pb,-8.439607247255502e-4,-0.3703661198685018,0.258686261602677,-0.3499061132793755,-0.02805345787905776,-0.25959195889253905,-0.05394006214253198,-0.17701638726872568,0.13847585889615552
Zn,0.025282871388141913,-0.4811889466240945,0.7181642280717493,-0.5087081942087626,0.5967337228632085,-0.3073516855564104,-0.05942216887160465,-0.016151786815596033,0.9829183696270443
Cu,-0.08534020570736203,-0.32536667493180144,0.20119797211736698,-0.2877794311839272,0.007694337984475946,-0.26789668881909356,0.018365941940861663,-0.18806824888744564,0.18941413771491175
Cr,0.6753447553630261,-0.4789203713553252,0.5018770556266967,-0.3942259742591211,0.49948388965703366,-0.29713343866012326,-0.1087111770772391,0.27653423498835666,0.04960533357447925
Ni,0.1813235755416342,-0.2806144535220887,0.07726517580767957,-0.07184671135391638,0.5017940099107684,-0.2745402528175761,-0.021830973826153482,0.21641324862245706,0.06276065684059803
Cd,0.02620891920090381,-0.40332626890721734,0.14474384197343018,-0.0829651926699532,0.6645361787957864,-0.09292718371264719,-0.010545011992457913,0.24041649789178043,0.4168169085394524
As,0.21502412045702637,-0.04031074972995879,0.003981309275988605,0.04534474409583714,0.3450280595104566,-0.07384273863743679,-0.20267475627207923,0.36493350718849227,-0.19541119674987537
