Base_ID,EF_Pb,EF_Zn,EF_Cu,EF_As,EF_Cr,EF_Ni,EF_Mn,EF_Ba,Metal_Load_Class,Pb_enrich_class,Zn_enrich_class,Pb_Zn,Cu_Zn,Pb_Cu,Zn_Cd,As_Pb,Cr_Ni,Ca_Mg,Fe_Mn,K_Na,Anthro_index,Source_indicator
1590,6.838565287816854,14.586173010050356,67.07163910220405,2.8000131731265094,1.1310804565249024,1.8099907961111166,2.5391665987934973,2.0965811388182143,Medium,Significant,Significant,0.11895912350790472,1.9216787508255757,0.061903751319932365,724.6360363544394,0.11347080803849606,1.1925338602337279,2.4294208897135694,49.91012952067272,1.1330752847087702,29.498792466690418,Cu wiring/pipes
1601,33.08346221460303,48.39383233233298,41.12234909489058,11.81314733389796,3.518140570737422,6.009155512784688,36.71614349106056,14.169255004692763,High,Very High,Extreme,0.1734582880425123,0.3551167265535173,0.4884542886108508,830.9692661398326,0.09899583174001633,1.1054484803003233,18.11445226047484,8.85261327681112,6.194905580925091,40.86654788060886,Mixed/Unknown
1620,5.459102389530934,4.224737415869564,2.488473457705318,2.3062380944727416,1.1072826819996242,1.0785487001152971,1.6378077900368069,2.065291371645403,Medium,Significant,Moderate,0.32786543779388877,0.24615945432372507,1.3319229955828222,562.1487110557804,0.11712414223049673,1.9440225038799241,1.6217532624697644,54.79690186080338,1.1670999882721997,4.057437754368606,Mixed/Unknown
GPS02,5.394382173581309,4.6122322337806345,3.7478210760026966,3.2817834290142316,0.8510252680676117,1.2384754488359726,2.290410760527189,1.8186354322734146,Medium,Significant,Moderate,0.2967595224418818,0.3395868864819222,0.8738839285470457,563.6315088554422,0.16788890622171945,1.2977432659528219,2.3110599904612856,44.67949553037407,1.6603583032796432,4.584811827788214,Mixed/Unknown
GPS03,5.50657652105439,9.250264339210414,3.977508174123492,2.45862982446223,0.9483243528311566,1.0960568604302845,2.590588572855921,1.9750276248754512,Medium,Significant,Significant,0.1510433655023772,0.1796967266087494,0.8405460041085854,1250.9232678266567,0.12373625841075622,1.637543168886249,2.1599645217862773,44.423240124607744,1.3093129015778373,6.244783011462765,Mixed/Unknown
GPS05,11.174984337008803,9.082529978331191,9.291650056713449,6.135395516878521,1.1983302350344516,1.3862977233553881,8.615428991240929,3.6195532318211736,High,Significant,Significant,0.31218655966640846,0.4275325977349443,0.7302052786626425,595.1128529516574,0.15255409544164375,1.6158792288093695,5.712972706167541,11.849277666949229,5.062883547876411,9.84972145735115,Mixed/Unknown
GPS09,4.533077977815934,3.422509313551758,2.1975868638459426,1.8225851616031823,0.7119091032957292,0.8226227587004993,1.7534594873064473,1.614262830750676,Medium,Moderate,Moderate,0.3360645243436433,0.26833952113073983,1.2523854962829224,677.3913794049612,0.11127291736968542,1.628348295425219,1.740393427351886,50.20752715651702,1.1934226423712433,3.3843913850712113,Mixed/Unknown
JPL06,7.457314232873929,5.4451510405796,4.938186946343855,2.1422856161836927,0.7760130257299127,1.0204832879508057,4.313514625770927,2.5213053791134366,Medium,Significant,Significant,0.347493456745962,0.3790014092346233,0.9168658698333334,563.5512687434142,0.07966427199080275,1.420273972803703,4.694985658785846,20.99529804466095,2.33796808848867,5.946884073265795,Mixed/Unknown
JPL07,10.023151899350003,22.747680666014563,4.921884982771531,2.799351114589466,0.9737459214640101,0.995998081088444,2.674858453991013,2.61677246916408,Medium,Significant,Very High,0.11179987237806756,0.09042271988863475,1.2364135088588473,618.1582575919608,0.07797244816965003,1.8377479355526616,3.0618232834626293,34.757975774620476,1.3492064331840223,12.564239182712031,Mixed/Unknown
JPL09,6.027964632180801,4.192203436852672,2.1158424963185487,1.7468049670965484,0.6695903764238564,0.73007274411061,1.6113214357940047,1.8858926914886731,Medium,Significant,Moderate,0.36484001466718646,0.2109231334661782,1.7297297298387095,467.11524650867256,0.08056911241331567,1.7156557176967773,1.9039596182714063,48.885820445689845,1.1076920483521302,4.112003521784008,Mixed/Unknown
JPL11,4.3860212563535,10.8136435482851,2.749853418689197,1.898251135065943,0.5345655639781999,0.6128990581738805,1.956581525888961,2.302751854612126,High,Moderate,Significant,0.10291360724770739,0.10627245741462404,0.968393972919888,1650.9123753627314,0.11988532707371516,1.6259706238095237,2.588707909509182,47.01078423255512,1.1632250608861883,5.983172741109265,Mixed/Unknown
JPL15,6.099076357468005,12.297792644317559,3.5076828393175536,1.8805832487545668,0.7572353624061495,0.8156882738082726,3.1122266401350283,2.623059072363285,High,Significant,Significant,0.12583777282051992,0.11920003437859254,1.0556857091235827,1607.7916706238193,0.08566533409892119,1.7405147252789734,4.034679179084489,30.759873541602403,1.1452959667581517,7.3015172803677055,Mixed/Unknown
JPL18,4.366423122319461,9.087493778651675,2.769965918406176,1.7987588967310109,0.6390011572094587,3.6521166751546055,1.939729968492759,2.2647644830932676,High,Moderate,Significant,0.12191462587553928,0.12738360272265592,0.9570668694382597,1176.517481843315,0.11377757067366816,0.3392164865320272,1.9126046238404941,69.75053524279515,1.2226172085123639,5.407960939792438,Mixed/Unknown
JPL25,6.008627595754306,4.80945199917931,4.020093684650429,4.006198366103845,0.8907378272338337,1.1109160291948277,2.721754859289133,2.015564686014417,Medium,Significant,Moderate,0.31699602187976833,0.34932028681872546,0.9074652513504567,716.9044139543387,0.18491538962958254,1.515909649430444,2.6165395102275504,43.508294063632384,1.3100439030783024,4.946057759861348,Mixed/Unknown
