Spectral_feature,Pb_offset_r
Char_index,0.3828320346761043
Fe_index,-0.3830092611693087
Carbonate_index,0.011118091236021413
Overall_albedo,-0.3828320346761042
Depth_1900nm,-0.44169670928449456
Slope_VIS,-0.478156882706917
