Metal,n,r,R_squared,Slope,Intercept,Log_slope,Log_intercept,Mean_ratio_ICPMS_XRF,Median_ratio_ICPMS_XRF
Pb,36,0.9916410850712299,0.9833520416012466,0.5745435238983837,-209.64916988462528,1.1012994683209545,-0.9598328468097713,0.23071668287582778,0.1816449512368092
Zn,34,0.9968057571022191,0.9936217173921279,0.40426878484725776,-277.3149458295802,1.1130728491955149,-0.9712375164974238,0.2634717142047544,0.2519368255928853
Cu,36,0.920792292680511,0.8478584462598323,0.5812235162201037,-146.49360555582643,1.0621441948683485,-0.8033095508842202,0.25515256204000347,0.21694094507645367
