Target,Predictor,Category,N,r,p_raw,r_clean,p_clean,N_influential,Max_CooksD,p_bonferroni,p_fdr,p_clean_bonferroni,p_clean_fdr,Effect_size,Sig_raw,Sig_bonferroni,Sig_fdr,Robust,Manuscript_ready
Zn,CN_stretch,FTIR,34,0.9633093238168208,7.619592062177579e-20,0.23486804795267208,0.1956851061728145,2,182.46427091125142,3.4288164279799104e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Sulfate_1100,FTIR,34,0.9632702160171329,7.74840599840129e-20,0.23378981183164352,0.19780454301010475,2,182.66167966898368,3.4867826992805804e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Sulfoxide_1040,FTIR,34,0.9632781462044734,7.722121908413117e-20,0.2320025509792397,0.2013526781298822,2,183.67583324218126,3.4749548587859026e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,CS_stretch,FTIR,34,0.9641876651484921,5.2035467652444416e-20,0.23958702981518815,0.18659516041463203,2,180.1653840893262,2.3415960443599987e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,PO_1250,FTIR,34,0.9634444439258262,7.189781728310702e-20,0.23762356760252806,0.19034061846124256,2,181.85299216626677,3.2354017777398157e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,POC_1020,FTIR,34,0.9632723497022613,7.741325821241273e-20,0.23214221151019368,0.20107384327052444,2,183.43276919633277,3.4835966195585726e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,OH_stretch,FTIR,34,0.9705330066570129,2.4037588553712706e-21,0.31947337254436337,0.07469180808816288,2,135.89550950979822,1.0816914849170718e-18,1.0816914849170717e-19,1,0.5251767756198953,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Water_1630,FTIR,34,0.9640135803165462,5.616336815301053e-20,0.2469966434952812,0.1729267623903129,2,179.11073251661384,2.5273515668854738e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Silicate_1080,FTIR,34,0.9632732858661237,7.738221272365275e-20,0.2336229958683239,0.19813386297948588,2,182.91011268638331,3.482199572564374e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Silicate_800,FTIR,34,0.9636999950930619,6.438203792091727e-20,0.23590111536281028,0.1936693203259904,2,181.82319589407243,2.897191706441277e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Metal_oxide_500,FTIR,34,0.9647994530361652,3.9671042940064283e-20,0.24951457683364975,0.16844796928834987,2,177.39389309238905,1.7851969323028928e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Total_organic_C,FTIR,34,0.9708872591309456,1.9858554152606025e-21,0.32465510892955246,0.06984379864180555,2,135.65164204578494,8.936349368672711e-19,1.0816914849170717e-19,1,0.5228975462468485,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Total_organic_N,FTIR,34,0.970661562198579,2.2434108158631084e-21,0.32184899767915903,0.07243779588310392,2,134.93951535027892,1.0095348671383989e-18,1.0816914849170717e-19,1,0.5228975462468485,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Total_organic_S,FTIR,34,0.9635836573837224,6.770745089006146e-20,0.23515494169649276,0.19512384361971497,2,182.27116915686815,3.0468352900527657e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Total_organic_P,FTIR,34,0.9633612589770878,7.451621901006411e-20,0.23492661977480028,0.19557042848447337,2,182.64172124857905,3.3532298554528845e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Total_organic_CNSP,FTIR,34,0.966098682076837,2.1937834388954023e-20,0.2640600582299974,0.14418439420749146,2,171.53611086262367,9.872025475029311e-18,7.593865750022545e-19,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Weighted_CNSP,FTIR,34,0.9681082692427728,8.372023467279508e-21,0.2884512810089665,0.10936589731557426,2,159.123039859365,3.7674105602757786e-18,3.4249186911597984e-19,1,0.6399814397993182,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
