Base_ID,Latitude,Longitude,Sample_Type,Sum of Metals,Pd,Ag,Cd,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Os,Tl,Pb,Th,U,Na,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Li,Rb,Sr,Y,Zr,Nb,Mo,has_ICPMS,has_XRF,has_ASD,has_FTIR,Data_Tier,SiO2_pct,Al2O3_pct,Fe2O3_pct,CaO_pct,MgO_pct,Na2O_pct,K2O_pct,TiO2_pct,P2O5_pct,MnO_pct,SO3_pct,Pb_xrf,Zn_xrf,Cu_xrf,Pb_exceed_RSL,As_exceed_RSL,Cd_exceed_RSL,Cr_exceed_RSL,Cu_exceed_RSL,Ni_exceed_RSL,Zn_exceed_RSL,Mn_exceed_RSL,N_exceedances,Ca_Mg_ratio,Fe_Al_ratio,Si_Al_ratio,Pb_Zn_ratio,Total_Toxics_ppm,Sum_REE_ppm,Metal_Load_Class
JPL11,34.189899,-118.168567,ASH,206795.78,0.726915521,0.235756385,0.294695481,5.206286837,5.854616896,0.019646365,1.689587426,997.6424361,46.60117878,99.31237721,10.94302554,40.92337917,7.858546169,1.453831041,6.99410609,0.864440079,4.263261297,0.805500982,2.377210216,0.314341847,1.944990177,0.275049116,0.294695481,0.628683694,0.589390963,4.007858546,0.392927308,51.76817289,14.67583497,1.434184676,19389.11591,13607.87819,56584.93124,22555.06876,35229.41061,6145.559921,102.632613,34.1453831,1051.434185,49475.75639,14.57760314,20,53.45776031,503.0255403,62.78978389,4.656188605,6.326129666,17.85854617,92.45579568,480.9233792,22.35756385,16.20825147,13.49705305,1.316306483,TRUE,TRUE,TRUE,TRUE,1,37.484,10.731,12.62,20.735,2.674,0,10.935,2.011,0.732,0.476,1.016,0.0413,0.234,0.0293,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2.5888979552294216,0.874362739892538,3.492732016399553,0.10291340265888553,112.534381137,214.086444,High
JPL15,34.175306,-118.1755,ASH,217140.23,0.796645702,0.136268344,0.293501048,4.916142558,7.13836478,0.020964361,1.519916143,969.3501048,37.88259958,79.83228512,8.867924528,34.28721174,6.42557652,1.404612159,5.880503145,0.71278826,3.752620545,0.72327044,2.096436059,0.272536688,1.77148847,0.241090147,0.597484277,0.639412998,0.733752621,2.589098532,0.283018868,61.40461216,5.283018868,1.4360587,17574.8218,15125.79665,48266.47799,20129.51782,61031.77149,6703.888889,102.4737945,41.25786164,1426.593291,43912.5891,14.55974843,22.70440252,58.16561845,487.966457,86.5408805,3.825995807,5.34591195,16.57232704,74.92662474,763.8469602,20.39832285,14.98951782,12.34800839,1.561844864,TRUE,TRUE,TRUE,TRUE,1,28.984,8.555,11.363,31.977,2.446,0,11.183,1.879,1.127,0.733,0.905,0.051,0.23,0.0269,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,4.03494565392391,0.9097947482164164,3.387564282374942,0.12583751493903414,131.006289318,174.580712792,High
JPL18,34.171063,-118.186769,ASH,201885.11000000002,0.658362989,0.106761566,0.302491103,5.604982206,2.028469751,NA,1.761565836,853.3451957,33.46975089,76.33451957,9.056939502,35.42704626,6.797153025,1.690391459,6.014234875,0.729537367,3.736654804,0.676156584,2.010676157,0.266903915,1.672597865,0.231316726,0.480427046,0.640569395,0.693950178,2.882562278,0.37366548,44.82206406,6.209964413,1.494661922,14864.03915,15621.01423,49212.41993,18174.25267,29878.73665,7468.096085,140.1779359,35.49822064,906.5658363,63303.20285,28.55871886,103.6476868,46.83274021,367.6512456,56.77935943,4.483985765,5.213523132,22.95373665,86.35231317,408.3629893,20.03558719,13.16725979,15.56939502,1.975088968,TRUE,TRUE,TRUE,TRUE,1,32.32,10.078,16.088,19.374,3.928,0,10.932,3.61,0.849,0.697,1.488,0.0383,0.297,0.0312,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,1.9127269393232642,1.2863257213060664,3.2066673281079474,0.12191429427243516,189.483985735,168.790035581,High
JPL25,34.162417,-118.10011,ASH,187900.59,0.720979513,0.137308198,0.233554128,4.789029287,4.937109369,0.039355769,1.742076487,681.5028591,120.8833984,293.7768092,32.37742638,105.6251618,11.39042363,1.525659786,10.52808821,0.885673254,3.646695893,0.630704544,1.9722792,0.223880742,1.429237097,0.208431868,0.461227942,0.463363472,1.300969864,4.373380206,0.284727637,55.34909972,30.80377675,2.103753245,14584.28023,14116.33593,44161.51467,19107.35744,36938.56724,5552.899148,115.289796,44.40420257,1141.501061,49708.27213,18.52784892,28.29211684,60.99307895,174.6050294,70.11740636,8.164316305,10.41981573,17.70715522,84.68286779,537.3047224,20.44537377,13.1808608,8.950582994,2.433335274,TRUE,TRUE,FALSE,TRUE,2,35.683,9.066,13.081,21.65,4.668,0,11.279,1.572,1.26,0.496,0.858,0.0257,0.069,0.0228,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2.616724680288571,1.1256015871703438,3.9354803132237786,0.3169942063867813,138.698788988,576.106967406,Medium
JPL29,34.1835037,-118.0829862,ASH,187343.47999999998,0.658536585,0.146341463,0.243902439,4.43902439,3.609756098,0.012195122,1.93902439,577.2926829,21.74390244,51.32926829,6.134146341,24.59756098,5.146341463,1.097560976,4.792682927,0.609756098,3.195121951,0.609756098,1.792682927,0.231707317,1.512195122,0.219512195,0.426829268,0.487804878,0.865853659,4.182926829,0.280487805,61.12195122,4.024390244,1.695121951,12085.32927,15615.10976,43973.41463,18308.79268,43908.65854,4986.95122,103.9634146,42.84146341,1312.97561,45171.92683,19.30487805,30.2804878,69.2195122,153.1341463,42.43902439,3.170731707,6.573170732,22.81707317,78.57317073,581.7195122,18.08536585,13.08536585,8.853658537,1.817073171,TRUE,TRUE,FALSE,TRUE,2,29.669,6.889,12.587,31.846,2.956,0,11.254,1.478,1.223,0.843,0.817,0.0308,0.076,0.0337,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2.811933851438144,1.0272553583302348,4.306095791001451,0.39913731561178517,141.060975601,114.841463417,Medium
JPL33,34.175049,-118.06999,ASH,184511.49,0.838235294,0.132352941,0.25,6.073529412,3.558823529,0.044117647,2.176470588,643.1764706,96.01470588,195.0294118,21.39705882,79.75,15.17647059,1.735294118,13.30882353,1.470588235,6.602941176,1.058823529,2.735294118,0.308823529,1.75,0.235294118,0.426470588,0.5,1.588235294,1.220588235,0.352941176,46.57352941,25.47058824,2.838235294,13254.14706,14288.88235,47322.72059,17536.16176,30868.36765,6346.220588,111.5441176,67.83823529,966.0294118,51397.48529,20.48529412,38.07352941,57.22058824,425.5,46.5,6.676470588,9.161764706,21.5,94.16176471,405.4852941,29.01470588,11.86764706,10.19117647,4.455882353,TRUE,TRUE,TRUE,TRUE,1,37.781,12.243,16.257,15.848,3.755,0,8.568,2.699,0.752,0.487,1.112,0.0284,0.188,0.0356,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2.1603065049866195,1.086105861266886,3.0856746161385167,0.10945574607345224,161.897058816,422.411764738,Medium
JPL43,34.17599,-118.02007,ASH,168115.41,0.629333333,0.128,0.192,2.784,2.976,0.010666667,1.397333333,727.9253333,14.464,39.08266667,5.077333333,22.048,5.184,1.205333333,4.682666667,0.64,3.594666667,0.693333333,2.069333333,0.277333333,1.770666667,0.245333333,0.448,0.554666667,0.704,1.28,0.277333333,38.44266667,2.762666667,1.429333333,16023.392,11972.61867,47220.07467,19675.616,26089.52533,4192.576,90.336,34.16533333,759.9146667,40226.61333,14.592,24.736,120.5866667,143.7546667,68.37333333,3.104,4.757333333,16.064,74.74133333,434.8586667,19.2,12.672,8.832,1.333333333,TRUE,TRUE,TRUE,TRUE,1,47.871,9.196,12.094,13.286,3.761,0,10.065,1.485,0.74,0.361,0.744,0.025,0.073,0.074,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2.179099148649395,0.8518964181914027,5.205066869631402,0.2674167046939792,102.293333333,91.744000003,Medium
JPL48,34.161124,-118.057554,ASH,193038.55,0.681431005,0.119250426,0.238500852,3.781942078,3.185689949,NA,1.839863714,665.0085179,23.20272572,57.1890971,7.155025554,29.81260647,6.149914821,1.499148211,5.451448041,0.69846678,3.679727428,0.681431005,2.044293015,0.272572402,1.754684838,0.255536627,0.562180579,0.545144804,0.766609881,1.090289608,0.272572402,47.2572402,5.025553663,2.470187394,13846.88245,15624.00341,48768.82453,19161.99319,38154.63373,6376.320273,118.4667802,39.88074957,1023.0664399999999,47988.90971,20.42589438,29.94889267,74.08858603,183.7819421,47.64906303,3.884156729,5.894378194,22.8109029,80.76660988,545.5025554,20.71550256,13.50936968,10.28960818,3.611584327,TRUE,TRUE,TRUE,TRUE,1,34.079,9.543,12.768,22.916,3.257,0,12.704,1.784,1.176,0.508,0.74,0.02,0,0.0303,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2.4420521608134904,0.9840079023531081,3.5707250628667233,0.25713616106051007,123.21976148599998,130.459965917,Medium
JPL50,34.199831,-118.191721,ASH,181817.58,0.61827957,0.161290323,0.362903226,3.77016129,2.600806452,0.02016129,1.639784946,826.9825269,29.40188172,54.11290323,6.028225806,22.54704301,4.227150538,1.048387097,4.005376344,0.510752688,2.580645161,0.510752688,1.505376344,0.201612903,1.26344086,0.188172043,0.63844086,0.443548387,0.813172043,2.110215054,0.275537634,48.00403226,4.596774194,1.25,12888.61559,11518.27285,40180.28898,19037.58065,44365.5578,6251.512097,91.89516129,36.71370968,1486.505376,43764.39516,12.9233871,22.00268817,59.21370968,223.0846774,75.58467742,2.983870968,4.045698925,15.00672043,72.47983871,641.9556452,15.28225806,18.69623656,8.588709677,1.975806452,TRUE,TRUE,TRUE,TRUE,1,36.012,8.941,11.675,23.785,3.891,0,11.082,1.469,0.986,0.759,0.964,0.0261,0.117,0.0319,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,3.8517540369123977,1.0892005802293616,4.027286960411541,0.21518204494108864,111.12903226099999,121.370967745,Medium
JPL51,34.202526,-118.178906,ASH,163699.19,0.529528598,0.210959373,0.474724414,3.421450027,2.016241267,0.013451071,1.209363464,753.5201098,22.05659356,42.49911603,4.48616062,17.73971731,3.337470761,0.842401617,3.332906321,0.391931361,2.04521558,0.390333929,1.118249178,0.147718632,0.907648511,0.134725182,0.2537519,0.306468066,0.539098713,1.465140034,0.24933403,62.98435406,5.528497763,1.409946887,16063.89048,8807.354036,41538.04266,15686.0101,30007.0379,3578.289778,84.23457385,33.31484036,995.7312177,44981.67946,10.98141013,16.61471882,43.88573034,221.8793239,75.06634778,3.053025997,6.251297062,11.18046039,67.67811671,501.0481679,11.95531638,12.88921898,6.290738005,1.268761523,TRUE,TRUE,TRUE,TRUE,1,41.987,11.889,10.539,17.747,2.87,0,10.857,1.474,0.814,0.517,0.909,0.0369,0.087,0.0153,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,3.407043065409132,1.082903177342368,3.5312867956265777,0.28386633367448405,119.639934716,94.29436621900001,Medium
