Proxy,Pb_offset_r,Zn_offset_r
Vis_slope,-0.48770635333005047,-0.1534505236158202
Blue_slope,-0.3717858623048432,-0.10843324411036677
Char_darkness,0.3935531865012237,0.14213015231829956
Organic_index_1,-0.4810075327064251,-0.13637360822344816
Organic_index_2,-0.4809078062891612,-0.24631234394832535
Aromatic_index,-0.35170414825284796,-0.4158337452897424
Aliphatic_index,-0.08350204724224203,-0.23852625979856704
XRF_organic,0.2105023740154341,0.5081421820108656
