ASD_ID,asd_date,Longitude_asd,Latitude_asd,asd_file_name,Base_ID,ASD_Date
JPL58_bkA,4/7/25,-118.159399,34.175086,batch02_Spectral9997/SP_00076.asd,JPL58,2025-04-07
JPL59_bkA,4/7/25,-118.144892,34.173628,batch02_Spectral9997/SP_00075.asd,JPL59,2025-04-07
JPL60,2/6/25,-118.135477,34.173638,batch01_Spectral9998/SP_00062.asd,JPL60,2025-02-06
JPL63_bkA,5/13/25,-118.154636,34.165413,batch03_Spectral9999/SP_00006.asd,JPL63,2025-05-13
JPL64,2/6/25,-118.176986,34.16037,batch01_Spectral9998/SP_00037.asd,JPL64,2025-02-06
JPL66,2/6/25,-118.10046,34.169729,batch01_Spectral9998/SP_00010.asd,JPL66,2025-02-06
JPL71,2/6/25,-118.121412,34.185745,batch01_Spectral9998/SP_00005.asd,JPL71,2025-02-06
JPL72,2/6/25,-118.118968,34.185961,batch01_Spectral9998/SP_00011.asd,JPL72,2025-02-06
JPL73_bkA,4/7/25,-118.130156,34.188432,batch02_Spectral9997/SP_00073.asd,JPL73,2025-04-07
JPL74,2/6/25,-118.128768,34.188943,batch01_Spectral9998/SP_00030.asd,JPL74,2025-02-06
JPL75,2/6/25,-118.145178,34.191261,batch01_Spectral9998/SP_00042.asd,JPL75,2025-02-06
JPL76_bkA,4/7/25,-118.145178,34.191261,batch02_Spectral9997/SP_00074.asd,JPL76,2025-04-07
JPL77_bkA,5/13/25,-118.146334,34.189415,batch03_Spectral9999/SP_00009.asd,JPL77,2025-05-13
JPL78,2/6/25,-118.147909,34.20015,batch01_Spectral9998/SP_00020.asd,JPL78,2025-02-06
JPL79_bkA,4/7/25,-118.146431,34.199635,batch02_Spectral9997/SP_00069.asd,JPL79,2025-04-07
JPL80,2/6/25,-118.144207,34.199014,batch01_Spectral9998/SP_00053.asd,JPL80,2025-02-06
JPL81,2/6/25,-118.143549,34.206834,batch01_Spectral9998/SP_00040.asd,JPL81,2025-02-06
