Target,Predictor,Category,N,r,p_raw,r_clean,p_clean,N_influential,Max_CooksD,p_bonferroni,p_fdr,p_clean_bonferroni,p_clean_fdr,Effect_size,Sig_raw,Sig_bonferroni,Sig_fdr,Robust,Manuscript_ready
Pb,Amide_I,FTIR,34,0.20952864689817516,0.2343176698970308,-0.1474039762338689,0.4130106113894221,1,1.3583799556101794,1,0.6059939738716313,1,0.893094827602283,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,CN_stretch,FTIR,34,0.02304445430461181,0.8970711803840756,-0.24494210449412102,0.176643373380737,2,55.52423039588756,1,0.9653733326135822,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Nitrate_1380,FTIR,34,-0.024879025091524933,0.8889257520468099,-0.11449011520692315,0.5258018681257739,1,0.4818929482584865,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Sulfate_1100,FTIR,34,0.02266465024717143,0.8987588158019522,-0.2446835983074778,0.17711497399177045,2,54.72606208852419,1,0.9653733326135822,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Sulfoxide_1040,FTIR,34,0.022719589424299275,0.8985146698783384,-0.24622527266549624,0.17431559216188186,2,55.52576105611193,1,0.9653733326135822,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,CS_stretch,FTIR,34,0.02273317436643158,0.8984543007397463,-0.22613811459602784,0.21330349326577763,2,58.259097325344285,1,0.9653733326135822,1,0.6778509233814833,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,PO_1250,FTIR,34,0.023740772468741223,0.89397829103346,-0.2441879088176878,0.17802176319442356,2,57.18249129092364,1,0.9653733326135822,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,POC_1020,FTIR,34,0.02245059703492853,0.8997101403869356,-0.2451988630545002,0.17617584067104472,2,54.82429114315332,1,0.9653733326135822,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,OH_stretch,FTIR,34,0.04663506892749094,0.7934000701637933,-0.07680373900407572,0.6760933845277262,2,144.02707179397876,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Water_1630,FTIR,34,0.02602002165965137,0.8838653420250979,-0.23860016224887906,0.18847117555314213,2,63.11846537596516,1,0.9653733326135822,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Carbonate_1420,FTIR,34,0.18247774567747818,0.3016390675794857,-0.3550213182929516,0.04262298761861464,1,1.3177727407667041,1,0.6960901559526593,1,0.3914356005791141,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Carbonate_875,FTIR,34,-0.036634713121431586,0.8370299566022776,0.020637846547688177,0.909240917856443,1,0.504146082818358,1,0.9653733326135822,1,0.9746518914259359,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Silicate_1080,FTIR,34,0.022833007135399465,0.8980106783298115,-0.2454611610788594,0.1756991257412842,2,55.22239871208711,1,0.9653733326135822,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Silicate_800,FTIR,34,0.022515164405070693,0.8994231667297138,-0.23595137136789585,0.19357162811805959,2,56.17389832005575,1,0.9653733326135822,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Metal_oxide_500,FTIR,34,0.023363478112207608,0.8956539604486284,-0.2169780642778518,0.23292625206857376,2,61.36698757475993,1,0.9653733326135822,1,0.7041848236284823,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Total_organic_C,FTIR,34,0.04399750624223948,0.8048533628772268,-0.08277874312543987,0.6524139374394179,2,146.05779916866928,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Total_organic_N,FTIR,34,0.04690301890081934,0.7922388582490241,-0.07486781950761033,0.6838326507878405,2,145.99783243584235,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Total_organic_S,FTIR,34,0.02270572058412449,0.8985763011877614,-0.23932575916360166,0.18709055138905065,2,56.207880656385264,1,0.9653733326135822,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Total_organic_P,FTIR,34,0.023101628198356535,0.896817169999305,-0.24470701278635779,0.1770722216378275,2,56.02429394401044,1,0.9653733326135822,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Total_organic_CNSP,FTIR,34,0.02958891608338879,0.8680670026609897,-0.20115083893384356,0.2696189511982632,2,80.9830523025352,1,0.9653733326135822,1,0.7269118452065029,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Weighted_CNSP,FTIR,34,0.0352943223782908,0.8429173309450749,-0.16128727410480606,0.3778457097369061,2,105.90988171172327,1,0.9653733326135822,1,0.8775725494538097,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Organic_index_FTIR,FTIR,34,0.32287364086444853,0.06253636139520254,0.41032106992864403,0.017704649064772544,1,1.8898040524441626,1,0.33501622176001356,1,0.2489716274733639,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Mineral_index_FTIR,FTIR,34,0.022982701785167294,0.8973455438275278,-0.2432187585932549,0.17980413968743758,2,55.4165379470151,1,0.9653733326135822,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,CH_Silicate_ratio,FTIR,34,0.3251858893838746,0.06057505963725636,0.4107520324173182,0.017573954688390882,1,1.9150215403355526,1,0.33242410776543124,1,0.2489716274733639,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Aromatic_Carbonate_ratio,FTIR,34,-0.03806911656131445,0.8307392724052177,-0.188437398408339,0.30167778324333844,2,11.08669034516278,1,0.9653733326135822,1,0.78927327011338555,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Aliphatic_aromatic,FTIR,34,0.04414465693764709,0.8042133039085179,-0.08134998612842853,0.658047126106279,2,147.0816435932031,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Weighted_organic,FTIR,34,0.04420146796854322,0.8039662273126448,-0.08111099000770737,0.6589912328177261,2,147.52292704703524,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Organic_mineral_ratio,FTIR,34,0.32376994220350896,0.06177024871183055,0.4032105318349423,0.019980562346278773,1,1.907768412140466,1,0.3348989387990813,1,0.2532498500299267,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,CNSP_mineral_ratio,FTIR,34,0.31765708795216346,0.06714478039887772,0.39755915923204055,0.0242439208125147,2,1.8697947718855998,1,0.3492270521648271,1,0.2660672065416313,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Char_index_FTIR,FTIR,34,-0.18620230161585957,0.2917083544125632,-0.15992191249539128,0.3740033025383872,1,0.9653195458048942,1,0.6887538371778373,1,0.8775725494538097,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Pyrolysis_index,FTIR,34,-0.17780145054477586,0.3144070786503313,-0.14618296921935187,0.4169339700243695,1,0.9250611527178757,1,0.7156011633095809,1,0.893094827602283,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Combustion_index,FTIR,34,-0.1882263338841322,0.28640051591210397,-0.16199652982939175,0.3677550728764748,1,0.9760883144265456,1,0.6855331497896107,1,0.8754475465597088,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Normalized_organic,FTIR,34,0.2797599032034688,0.10905984892496244,0.3908827221051241,0.02696392885965945,2,1.5092398649934897,1,0.48916723695866765,1,0.28218065085690125,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Normalized_CNSP,FTIR,34,0.29282028337358607,0.09283653918412658,0.41089956977613484,0.019482563666168264,2,1.6113092727145892,1,0.43517127742559336,1,0.2532498500299267,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,CN_ratio,FTIR,34,-0.159056041703312,0.3689209787899743,-0.18366649662972548,0.30624251294387306,1,0.8064160931852622,1,0.8035218782039474,1,0.7965845712412883,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Vis_slope,ASD,21,-0.028548886259327656,0.9022330569805707,-4.2164012291406893e-4,0.9985923675726608,1,0.21429280386689104,1,0.9653733326135822,1,0.9998294783207018,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,NIR_slope,ASD,21,-0.21187116717067386,0.3565331321397359,-0.3414973974886163,0.14058632610141159,1,0.24827491624085357,1,0.7891836547521109,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Blue_slope,ASD,21,0.34141121020037263,0.12985401859937623,0.3052604851780672,0.19061346730899134,1,0.3319477121341926,1,0.4912952718140986,1,0.6651958686195676,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,R_450,ASD,21,0.2813506812283122,0.21664160301421642,0.31126464397297604,0.18159579022955835,1,0.2353794630822335,1,0.5837647985413018,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,R_550,ASD,21,0.33557396761280683,0.13697606493905828,0.36609602570296335,0.11239989431818036,1,0.2523614725755812,1,0.4912952718140986,1,0.6484609287587328,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,R_650,ASD,21,0.32925278360398336,0.1449958299322469,0.3706382716786271,0.10767746727804066,1,0.2429866234980123,1,0.4912952718140986,1,0.6399814397993182,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,R_850,ASD,21,0.04694726202054831,0.8398568880752314,0.094714835213028,0.6912209545040109,1,0.21428049280590555,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,R_1700,ASD,21,-0.05056176121428182,0.8276988309111921,-0.17260160020115156,0.46680652556153,1,0.2780767232758768,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,R_2100,ASD,21,0.1312773675609343,0.5705677848927366,0.07787252869088662,0.7513378163542286,2,0.5340415645512421,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,R_2300,ASD,21,0.22048072620309173,0.33685847663513535,0.1691841591143996,0.48868074127511996,2,0.6248444997401342,1,0.7579315724290545,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Organic_index_1,ASD,21,-0.018760050665951166,0.9356710944773481,0.025378499837528566,0.9154199484882689,1,0.22094399953197785,1,0.9653733326135822,1,0.9764529241088957,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Organic_index_2,ASD,21,-0.11159948253209907,0.6300852846621892,-0.11034408355277749,0.6432798514298691,1,0.2147227980347037,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Char_darkness,ASD,21,-0.041093887370792864,0.8596193381053255,0.0672910640002029,0.7780377594317724,1,0.2922054285608463,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Aromatic_index,ASD,21,-0.4453277834076908,0.043066357767578334,-0.19005961019316425,0.4500141013964778,3,0.7602039941184139,1,0.2892516566479142,1,0.9021608230249412,Moderate,TRUE,FALSE,FALSE,FALSE,FALSE
Pb,Aliphatic_index,ASD,21,-0.08465685934675969,0.7152253860866952,-0.10247061360030155,0.6672756711867236,1,0.20803931075009843,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,XRF_organic,XRF,37,0.8900105615720222,1.7224427506436012e-13,0.8885318944125637,5.145182003487738e-12,4,24.51610484216978,7.750992377896206e-11,2.4221851180925643e-12,2.315331901569482e-9,2.315331901569482e-9,Very Strong,TRUE,TRUE,TRUE,TRUE,TRUE
Zn,SiO2_pct,XRF,37,0.013215793672164881,0.9381202428814469,-0.3860663663246751,0.020038450928571226,1,0.6803895139918485,1,0.9653733326135822,1,0.2532498500299267,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,Al2O3_pct,XRF,37,-0.4128604057980664,0.011099198644691286,-0.45412725423108485,0.006137708192588289,2,2.5095182556130533,1,0.09989278780222158,1,0.12554403121203317,Moderate,TRUE,FALSE,FALSE,FALSE,FALSE
Zn,Fe2O3_pct,XRF,37,-0.4811889466240945,0.002569941198905114,-0.7125339869773347,1.57390393620956e-6,2,2.7051647184120418,1,0.026283489534256844,7.08256771294302e-4,1.3636215138024163e-4,Moderate,TRUE,FALSE,TRUE,TRUE,FALSE
Zn,CaO_pct,XRF,37,0.013423193043336192,0.9371510540259352,0.380026792610414,0.02224149297855047,1,0.581570967201438,1,0.9653733326135822,1,0.256632611290967,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,MgO_pct,XRF,37,0.07455259243764889,0.661000586429313,-0.12282806082279042,0.482093804319086,2,5.134084332576607,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,K2O_pct,XRF,37,-0.48892109856171784,0.0021360539903113045,-0.5503521682148387,7.454707703744076e-4,3,3.1065977903938746,0.961224295640087,0.02235405338697877,0.33546184666848344,0.027955153889040286,Moderate,TRUE,FALSE,TRUE,TRUE,FALSE
Zn,Cr_Ni,Ratio,39,-0.01659986825697661,0.9201060667573037,-0.0814589514041063,0.6317347062135812,2,0.5432624393783304,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,Fe_Mn,Ratio,39,-0.260099545285787,0.10979086873961207,-0.22331079390039896,0.17775935884892902,1,1.2903607523269296,1,0.48916723695866765,1,0.6651958686195676,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,Ca_Mg,Ratio,39,0.037782268860266616,0.8193703759934053,0.5632185152715531,2.841956998293509e-4,2,0.7034846081072116,1,0.9653733326135822,0.1278880649232079,0.012157316712762439,Weak,FALSE,FALSE,FALSE,TRUE,FALSE
Zn,Fe_Al_ratio,Ratio,39,-0.052485542629563356,0.7509957244338437,-0.008390920200441512,0.9606890229213446,2,0.6270170093165021,1,0.9653733326135822,1,0.9825228643513751,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,Si_Al_ratio,Ratio,37,0.6885529778608978,2.4682573844329017e-6,0.0762908527176563,0.6631363935955302,2,11.055524881503274,0.0011107158229948057,3.2668112441023695e-5,1,0.9021608230249412,Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Pb_Zn,Ratio,39,0.0050148859966482814,0.9758284659470478,0.050310406641920574,0.767451598145265,2,285.2924043954528,1,0.9853834537378778,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,Cu_Zn,Ratio,39,-0.13826153375281836,0.4012489724858357,-0.2678077263907832,0.10903924706409752,2,0.7388286364761781,1,0.8282662276083763,1,0.6399814397993182,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,Pb_Cu,Ratio,39,0.08488974465527749,0.6073798443337814,0.5114784128576272,0.0012144695003512111,2,17.11620360764601,1,0.9653733326135822,0.546511275158045,0.036434085010536334,Weak,FALSE,FALSE,FALSE,TRUE,FALSE
Zn,Anthro_index,Ratio,39,0.42597086414470053,0.006855415808051487,0.7512281159532346,1.2995709062131014e-7,3,2.182881982223262,1,0.0642695232004827,5.8480690779589565e-5,1.949356359319652e-5,Moderate,TRUE,FALSE,FALSE,TRUE,FALSE
Zn,CH_stretch_2920,FTIR,34,0.9712049696789272,1.6698809258565392e-21,0.3227566903344884,0.07159065756073697,2,133.18077101091455,7.514464166354426e-19,1.0816914849170717e-19,1,0.5228975462468485,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,CH_stretch_2850,FTIR,34,0.9708879773634153,1.9850818771884625e-21,0.3235185810524265,0.07088555703389096,2,135.7256596876607,8.932868447348082e-19,1.0816914849170717e-19,1,0.5228975462468485,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,CH_total,FTIR,34,0.9709854938132915,1.8826351340939677e-21,0.3232359027345651,0.07114653179519,2,135.01801335533548,8.471858103422854e-19,1.0816914849170717e-19,1,0.5228975462468485,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,CO_carbonyl_1720,FTIR,34,-0.10563167276506209,0.5521363011515668,-0.07407676600302883,0.6820302449507956,1,0.5955563859976418,1,0.9653733326135822,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,Aromatic_1600,FTIR,34,0.24574736599486738,0.16123392667304973,-0.09461946537609055,0.6004407840383948,1,1.712007273446079,1,0.4912952718140986,1,0.9021608230249412,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Zn,Aromatic_1580,FTIR,34,0.9637466970944163,6.309058941227624e-20,0.24268253547923496,0.18079570413933868,2,180.95357495681125,2.8390765235524304e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
