Base_ID,Vis_slope,NIR_slope,Blue_slope,R_450,R_550,R_650,R_850,R_1700,R_2100,R_2300,Organic_index_1,Organic_index_2,Char_darkness,Aromatic_index,Aliphatic_index,n_spectra
JPL14,2.305916890397002,1.2887996490838944,2.0931940551817054,0.11648283207597736,0.1393141648939786,0.1618354671405012,0.2051947162308089,0.29260254969059635,0.2970268085327655,0.28085105407819866,1.725483620289887,0.28465933054086345,0.7482852601824761,0.002447823838252705,-2.183441854552992e-4,1
JPL15,1.4748890693435446,0.6949465964165191,1.9104809018107949,0.17415354992621593,0.19315899135681497,0.2062779902795577,0.22205973514103128,0.2781597822642032,0.2982817815459403,0.29517694658105015,1.0957650396382514,0.15980683867431633,0.7429474273112372,0.00184319404432709,-0.0010393497715399658,1
JPL16,1.8355486976143391,-0.026422609307747282,3.275371218330102,0.2932250217647334,0.3209123092928653,0.33629509511502104,0.3472587403616658,0.34314637177091417,0.3344864324005588,0.3227741651840172,1.2146833967372435,0.13065732051413104,0.6617549282761968,0.0017092984579093473,-1.446539796163826e-4,1
JPL17,2.379188936945006,0.7765130922954595,2.5237526343846315,0.17246341991627895,0.1976351680219065,0.22029571775879575,0.2634230971171843,0.30391224272691886,0.30172613550815275,0.2870300740797945,1.7111260962910684,0.22066535374960228,0.7192056375683376,0.0041196765326814155,6.276505577136327e-4,1
JPL18,2.8328242566248614,1.5952965147247256,2.4260915912040515,0.14194969655735862,0.16894043485471705,0.1969358035333875,0.2516844910644269,0.35529939717225584,0.3474321930626058,0.32165820614967466,1.9769662804479358,0.2828498229052594,0.6978781955232801,0.0027751189334495052,-5.350417524632167e-4,1
JPL19,0.3929640927545998,0.247939562562206,0.403323976977025,0.05391531136047078,0.05826846895613528,0.06215171,0.068788266,0.085317248,0.091106558,0.091369854,0.36168796564460703,0.14625730070538423,0.920409707434709,0.010443532656561727,0.007131183795210716,1
JPL20,1.754921691940557,2.057761125762203,1.5812818988608268,0.11993237609551947,0.13670547178406525,0.15344574016959892,0.2153090028951682,0.3278817597157744,0.30967387778583966,0.2730662271721623,1.2756277771736044,0.22346595015297843,0.7268858679175827,0.013876450999343759,0.008567979583217866,1
JPL21,2.703237011237845,1.5149595625936156,2.3638131131143343,0.1118753593940988,0.13798685871031968,0.1644657420794531,0.21332427894890713,0.3100130286865499,0.3094804924662792,0.28742143289577876,1.9918001966057273,0.3238760000219342,0.7368204076540288,0.002910778501297062,-0.0029525230588876017,1
JPL22,-0.08957374061088991,-0.016686362403320918,-0.09662123694667182,0.07824810900000001,0.0775636125,0.0766424005,0.0748602005,0.073521806,0.074384168,0.073308602,-0.0829542593958282,-0.0077958961342387,0.9259765240878485,0.011419521124462317,0.008729624051241225,2
JPL23,3.508452473948681,2.263301482163003,2.827801730247924,0.10455192590342428,0.1379308543044409,0.17216276294099175,0.23945200241534473,0.38804829718253586,0.3833088721418978,0.35463984819554295,2.4016663474278044,0.3962216580070844,0.6845372326576752,3.313587746663904e-4,-0.006037677552690912,1
JPL24,1.8546067952341538,1.1182238478367759,2.4865818222459968,0.17967685091498006,0.2030315721839501,0.2196131171337379,0.2480843465253556,0.3197970313402172,0.32298323553438163,0.31377850593525214,1.321024925753462,0.18555680981535594,0.7122938021946996,0.0016359646330629252,-0.0011113928503783121,1
JPL26,1.1612174086668414,1.526513122990989,0.9267681775985361,0.13260869534818426,0.1435506029344215,0.1548034705659385,0.1860960945859033,0.2906619719929698,0.29562029427565395,0.2810496658391952,0.8586127327645594,0.15028922393576427,0.754934799235729,0.003620390640178772,-0.0031882078816193316,2
JPL27,2.0179916124978527,0.43323708980660275,1.1623121450500007,0.17257014072327803,0.1853437366836901,0.20747476342348897,0.2791375876412613,0.27421606218941186,0.243665277,0.23425747255676355,1.4920111816937012,0.17222527134987287,0.7393545010065242,0.007043968195477257,0.015662288316476647,1
JPL28,1.1587939299511258,1.4335507319322565,1.109653011867259,0.14762134055907325,0.15949062871774852,0.17058827648781963,0.2068669487472252,0.2984918534568692,0.30276647562392744,0.29144579309285806,0.8587509765121221,0.13967700136231453,0.7410730711614457,0.0030944804236202605,8.204529377067171e-4,1
JPL30,1.722538827874351,1.435796135176204,1.6231256477269003,0.1519294446636871,0.1693704618291023,0.18623170882193305,0.22313082254486685,0.3125284790259754,0.31976558194820653,0.3087139368616909,1.2509267915589353,0.18854853368784985,0.726211085240154,0.002097809785731042,-0.002948570051602095,1
JPL31,1.288006239009342,0.7138786454570815,1.411366499118647,0.1104384385293827,0.12489875745055844,0.13692702289195616,0.15786056070153068,0.1979211087381579,0.19850707267516912,0.1870153628266292,1.0572460209502788,0.19929803301929006,0.8208392078624166,0.005500650339108848,-3.452082680333035e-5,1
JPL32,1.3505171730994079,1.3296374082726048,1.1439823621384433,0.12464798244198892,0.136679517,0.15056131176569026,0.1824893835091639,0.2749864313400503,0.29802967422044874,0.29731293523061386,1.0257000981352096,0.1775738742965529,0.7594868977350728,0.003741816361404693,-9.605459101171832e-4,1
JPL33,2.15691409698912,2.4873177340203294,1.4545487525749259,0.099527028,0.11676567022891146,0.13924633624246088,0.19730814981968836,0.3432748501376612,0.3325979410336308,0.3108771127423899,1.5622155778274285,0.29034133321004885,0.7242827055598352,0.0032808736175830022,-0.003381489539697302,1
JPL34,2.5502530084408526,1.6737155541560433,1.8431349867221853,0.15124715892552346,0.17465778844902474,0.1996776167558509,0.24304249397380892,0.35492210433417465,0.35134456227355515,0.32489966572656237,1.7837486929261148,0.24631774399865292,0.6994398936192785,0.001364281877864859,-0.00512818185464603,1
JPL36,2.9874088014285696,1.1777835076718626,2.380093265690061,0.16302600201395603,0.18833191489126375,0.2200095501351016,0.26903573300362804,0.3320908050311481,0.32009420826033036,0.30254378147218847,2.100086274796081,0.26235765868805494,0.702979208534107,0.002867169074121212,0.002809004754099065,1
JPL37,2.228348689553717,1.476798012675793,1.8882705929733348,0.1186298305883742,0.13947935699578673,0.16175615789118908,0.20713799693356644,0.2946494883637018,0.2927049720123131,0.2791851774987702,1.663633787314979,0.2711192490321356,0.7465769585854912,0.002191674622852746,-2.317494321764091e-4,1
JPL38,1.960378271937995,2.2138968514871844,1.312158568769606,0.069358804,0.084797378,0.10568299866290388,0.15654824354561248,0.29193537,0.29579538438251146,0.27695504758580586,1.501988794866767,0.3498607569219214,0.7661729454805309,0.005861766526846224,-0.0029053734949906485,1
