Threshold_Name,Threshold_ppm,N_Above,N_Below,TP,TN,FP,FN,Accuracy_pct,Sensitivity_pct,Specificity_pct,PPV_pct,NPV_pct,FPR_pct,FNR_pct,Screening_Status
CA_DTSC_Residential,80,11,23,6,23,0,5,85.29411764705883,54.54545454545454,100.0,100.0,82.14285714285714,0.0,45.45454545454545,LIMITED
CA_DTSC_Commercial,320,6,28,3,28,0,3,91.17647058823529,50.0,100.0,100.0,90.32258064516128,0.0,50.0,FEASIBLE
EPA_RSL_Residential,400,6,28,3,28,0,3,91.17647058823529,50.0,100.0,100.0,90.32258064516128,0.0,50.0,FEASIBLE
EPA_RSL_Industrial,800,3,31,1,31,0,2,94.11764705882352,33.33333333333333,100.0,100.0,93.93939393939394,0.0,66.66666666666666,FEASIBLE
