Base_ID,Pellet_Int,Pellet_Pb_ppm,Powder_Int,Powder_Pb_ppm,ICPMS_Pb_ppm,Pellet_vs_ICPMS,Powder_vs_ICPMS,Pellet_vs_Powder
XPAH28,11113.75,5538.947795224907,3312.368,4900.226537479782,18528.21005,-12989.262254775094,-13627.983512520219,638.7212577451255
XPAH20,1434.603,694.3160829748049,1592.735,2301.3346011512735,1933.059524,-1238.7434410251951,368.27507715127354,-1607.0185181764687
JPL73,1126.774,540.2407150368825,,,804.4356436,-264.1949285631175,,
JPL77,398.881,175.91382642522458,358.018,435.29920002340083,557.4358974,-381.5220709747755,-122.13669737659922,-259.3853735981762
JPL76,463.044,208.0288572800203,,,556.9404389,-348.9115816199797,,
JPL79,650.564,301.886853101464,727.538,993.7570502228973,448.1712627,-146.284409598536,545.5857875228974,-691.8701971214333
JPL58,185.964,69.34405842013541,121.828,78.34379939929653,208.5216243,-139.1775658798646,-130.17782490070348,-8.999740979161118
JPL07,10.529,-18.465121917615082,,,88.05642307,-106.52154498761507,,
JPL59,101.427,27.031380344424107,,,86.09509363,-59.063713285575886,,
JPL63,107.244,29.942920242532775,116.908,70.90817311930756,84.66094421,-54.71802396746722,-13.752771090692434,-40.965252876774784
XPAH26,65.208,8.90295270653551,38.164,-48.098118708223126,82.02020202,-73.11724931346448,-130.11832072822313,57.001071414758634
JPL61,98.012,25.3220957042245,123.566,80.97044949576417,78.68331885,-53.36122314577551,2.287130645764165,-55.64835379153968
JPL68,99.529,26.081388471188713,,,77.39632903,-51.31494055881129,,
JPL86,183.501,68.11127128431941,,,74.44794953,-6.336678245680588,,
JPL89,106.989,29.815286982430024,99.286,44.27593606524953,67.45036573,-37.63507874756998,-23.17442966475047,-14.460649082819508
JPL09,69.698,11.150299129521228,112.431,64.1420554657485,64.34594595,-53.19564682047877,-0.20389048425150236,-52.99175633622727
JPL51,99.289,25.961263049915537,99.443,44.51321113150121,62.98435406,-37.023091010084464,-18.471142928498793,-18.55194808158567
GPS05,,,51.305,-28.238044532342034,61.86335404,,-90.10139857234203,
JPL15,92.349,22.48763628476612,,,61.40461216,-38.91697587523388,,
JPL29,76.928,14.769077445375741,65.792,-6.343752272545259,61.12195122,-46.35287377462426,-67.46570349254526,21.112829717921
JPL95,82.307,17.461388449660863,63.232,-10.212696027986674,58.93544734,-41.47405889033914,-69.14814336798668,27.674084477647536
JPL25,61.098,6.845804867232324,,,55.34909972,-48.503294852767674,,
JPL06,52.197,2.390653305763309,,,55.01195219,-52.621298884236694,,
1620,65.864,9.231295524682203,45.775,-36.59556756655728,54.27586207,-45.0445665453178,-90.87142963655728,45.82686309123948
XPAH29,64.945,8.77131526572365,48.12,-33.05155463432676,53.75066313,-44.97934786427635,-86.80221776432677,41.822869900050414
1590,,,98.933,43.74244499272188,53.09668291,,-9.35423791727812,
GPS03,73.599,13.102837747799027,105.518,53.69439601990222,53.07316245,-39.97032470220097,0.6212335699022233,-40.59155827210319
JPL11,89.189,20.90598490466926,97.953,42.261364961341954,51.76817289,-30.862187985330742,-9.506807928658048,-21.355380056672693
GPS09,90.205,21.414515854725718,102.816,49.61084679052617,49.43502825,-28.020512395274285,0.17581854052616563,-28.19633093580045
JPL50,71.205,11.904586670599066,64.914,-7.670679076169305,48.00403226,-36.099445589400936,-55.67471133616931,19.575265746768373
JPL48,56.429,4.5088649008803605,50.409,-29.59217484674653,47.2572402,-42.74837529911964,-76.84941504674653,34.10103974762689
JPL33,58.693,5.642048041557345,64.548,-8.22381712870507,46.57352941,-40.931481368442654,-54.79734653870507,13.865865170262415
JPL18,60.703,6.64809844472022,,,44.82206406,-38.17396561527978,,
JPL43,57.019,4.804173228176923,70.043,0.08081019010375011,38.44266667,-33.63849344182308,-38.361856479896254,4.723363038073173
XPAH55,46.628,-0.3967569903630783,51.549,-27.869285830651524,27.02140309,-27.418160080363077,-54.89068892065153,27.472528840288447
XPAH58,19.87,-13.789740417145234,20.856,-74.2558056297778,13.79730597,-27.587046387145236,-88.0531115997778,60.466065212632564
1606,39.905,-3.7617703537779983,,,,,,
1639,107.232,29.936913971469114,,,,,,
1642,685.954,319.60034751337145,,,,,,
JPL28,76.522,14.565865274388617,73.478,5.2721468307057835,,,,9.293718443682835
JPL40,75.043,13.825592365792653,75.788,8.763264047529873,,,,5.0623283182627805
JPL52,47.94,0.2599286459302978,60.992,-13.598021813997914,,,,13.857950459928212
JPL94,84.494,18.556031351012702,76.208,9.398012632406983,,,,9.15801871860572
