Base_ID,Sample_Type,Latitude,Longitude,Pb_icpms,Zn_icpms,Cu_icpms,As_icpms,Pb_xrf_wt,Zn_xrf_wt,Cu_xrf_wt,Pb_xrf_ppm,Zn_xrf_ppm,Cu_xrf_ppm,Pb_predicted_H0,Pb_residual_H0,Pb_bias_H0
1590,ASH,34.1399091,-118.0888207,53.09668291,446.3439318,857.7296493,6.138394322,0.0395,0.181,0.311,395,1810,3110,46.35345800298814,6.743224907011857,341.90331709
1620,ASH,34.17194,-118.123503,54.27586207,165.5431034,40.75,6.474137931,0.0162,0.066,0.0207,162,660,207,-87.16175091708163,141.43761298708165,107.72413793
GPS02,ASH,34.130429,-118.135441,43.2,145.5724138,49.43448276,7.420689655,0.0331,0.098,0.0337,331,980,337,9.679752548548361,33.52024745145164,287.8
GPS03,ASH,34.13004,-118.144,53.07316245,351.3769855,63.1412941,6.690810802,0.0432,0.109,0.0341,432,1090,341,67.55544396883614,-14.482281518836146,378.92683755
GPS05,ASH,34.142425,-118.136055,61.86335404,198.1614907,84.72049689,9.590062112,0.0209,0.07,0.0298,208.99999999999997,700.0000000000001,298,-60.22949847397743,122.09285251397742,147.13664595999998
GPS09,ASH,34.15316,-118.146214,49.43502825,147.0998117,39.47269303,5.612052731,0.0419,0.087,0.0184,419,869.9999999999999,184,60.10609754840305,-10.671069298403047,369.56497175
JPL06,ASH,34.176361,-118.110278,55.01195219,158.310757,60,4.462151394,0.0171,0.064,0.0272,171,640,272,-82.00451108755102,137.01646327755103,115.98804781
JPL07,ASH,34.161926,-118.162948,88.05642307,787.6254346,71.21923405,6.943947332,0.0397,0.19,0.0322,397,1900,322,47.49951129843937,40.55691177156062,308.94357693
JPL09,ASH,34.161591,-118.127696,64.34594595,176.3675676,37.2,5.264864865,0.0464,0.104,0.0233,463.99999999999994,1040,233,85.892296696056,-21.546350746055992,399.65405404999996
JPL11,ASH,34.189899,-118.168567,51.76817289,503.0255403,53.45776031,6.326129666,0.0413,0.234,0.0293,413.00000000000006,2340,293,56.66793766204934,-4.899764772049338,361.23182711000004
JPL15,ASH,34.175306,-118.1755,61.40461216,487.966457,58.16561845,5.34591195,0.051,0.23,0.0269,509.99999999999994,2300,269,112.25152249143457,-50.84691033143457,448.59538783999994
JPL18,ASH,34.171063,-118.186769,44.82206406,367.6512456,46.83274021,5.213523132,0.0383,0.297,0.0312,383,2970,312,39.47713823028069,5.344925829719315,338.17793594
JPL25,ASH,34.162417,-118.10011,55.34909972,174.6050294,60.99307895,10.41981573,0.0257,0.069,0.0228,257,690.0000000000001,228,-32.7242193831476,88.0733191031476,201.65090028
JPL29,ASH,34.1835037,-118.0829862,61.12195122,153.1341463,69.2195122,6.573170732,0.0308,0.076,0.0337,308,760,337,-3.499860349140909,64.6218115691409,246.87804878
JPL33,ASH,34.175049,-118.06999,46.57352941,425.5,57.22058824,9.161764706,0.0284,0.188,0.0356,284,1880,356,-17.252499894555818,63.82602930455582,237.42647059
JPL43,ASH,34.17599,-118.02007,38.44266667,143.7546667,120.5866667,4.757333333,0.025,0.073,0.074,250,730,740,-36.73540591722694,75.17807258722695,211.55733333
JPL48,ASH,34.161124,-118.057554,47.2572402,183.7819421,74.08858603,5.894378194,0.02,0,0.0303,200,0,303,-65.38673830350801,112.64397850350801,152.7427598
JPL50,ASH,34.199831,-118.191721,48.00403226,223.0846774,59.21370968,4.045698925,0.0261,0.117,0.0319,261,1170,319,-30.432112792245107,78.43614505224511,212.99596774
JPL51,ASH,34.202526,-118.178906,62.98435406,221.8793239,43.88573034,6.251297062,0.0369,0.087,0.0153,369,869.9999999999999,153,31.454765162121998,31.529588897878003,306.01564594
JPL58,ASH,34.175086,-118.159399,208.5216243,572.2748228,58.65876291,6.026068218,0.0442,0,0.0326,442.00000000000006,0,325.99999999999994,73.28571044609235,135.23591385390768,233.47837570000004
JPL59,ASH,34.173628,-118.144892,86.09509363,387.8093214,72.93310897,6.911511568,0.0486,0.142,0.0215,486,1419.9999999999998,214.99999999999997,98.49888294601966,-12.403789316019669,399.90490637
JPL61,ASH,34.16643,-118.135338,78.68331885,215.4109965,51.86056835,7.959753113,0.0474,0.104,0.0209,474,1040,208.99999999999997,91.6225631733122,-12.939244323312195,395.31668115
JPL63,ASH,34.165413,-118.154636,84.66094421,332.6695279,56.9527897,5.931330472,0.0472,0.165,0.0294,472,1650,294,90.47650987786098,-5.81556566786098,387.33905579
JPL68,ASH,34.19871117,-118.1630706,77.39632903,778.6879674,74.18422842,6.067301156,0.0405,0.222,0.0294,405,2220,294,52.083724480244356,25.312604549755648,327.60367097
JPL73,ASH,34.188432,-118.130156,804.4356436,3684.653465,292.1386139,12.1980198,0,1.244,0.163,0,12440,1630,-179.99206784863227,984.4277114486323,-804.4356436
JPL76,ASH,34.191261,-118.145178,556.9404389,2042.532915,179.8369906,8.652037618,0.159,0.733,0.052,1590,7330,520,731.1203020351056,-174.17986313510562,1033.0595610999999
JPL77,ASH,34.189415,-118.146334,557.4358974,2838.945869,239.7008547,10.48433048,0.126,0.553,0.088,1260,5530.000000000001,880,542.0215082856506,15.414389114349433,702.5641026
JPL79,ASH,34.199635,-118.146431,448.1712627,3076.632801,619.4775036,4.920174165,0.274,0.917,0.062,2740,9170,620,1390.10094691957,-941.9296842195702,2291.8287373
JPL86,ASH,34.200775,-118.128921,74.44794953,796.6719243,85.11041009,5.362776025,0.063,0.313,0.068,630,3130,680,181.01472021850915,-106.56677068850915,555.55205047
JPL89,ASH,34.127434,-118.19433,67.45036573,300.4702194,41.23301985,5.768025078,0.0366,0,0.0225,366,0,225,29.735685218945125,37.71468051105488,298.54963427
JPL95,ASH,34.149446,-118.118895,58.93544734,214.7678369,97.50849377,5.175537939,0.0261,0.163,0.12,261,1630,1200,-30.432112792245107,89.3675601322451,202.06455266
XPAH29,ASH,34.18834,-118.11,53.75066313,169.061008,43.35278515,6.928381963,0.0183,0.058,0.0143,183,580,143,-75.12819131484358,128.87885444484357,129.24933687
XPAH20,ASH,34.191078,-118.154297,1933.059524,3327.72619,14.21428571,11.6547619,0.723,0.916,0,7230,9160,0,3962.9905952076097,-2029.9310712076096,5296.940476
XPAH26,ASH,34.19516,-118.154653,82.02020202,23828.51852,253.2828283,3.804713805,0.0114,5.881,0.094,114,58810,940,-114.66703000791145,196.68723202791145,31.97979798
XPAH28,ASH,34.206473,-118.135615,18528.21005,1993.242009,3650.045662,3.01369863,3.17,0.603,0.528,31700,6030,5280,17984.952665053563,543.2573849464388,13171.789949999998
XPAH55,ASH,34.19345,-118.10439,27.02140309,100.3745541,23.60285375,6.183115339,0.0187,0.028,0.007,187,280,70,-72.83608472394108,99.85748781394108,159.97859691
XPAH58,ASH,34.177179,-118.097225,13.79730597,513.6561899,115.3559974,4.0410519559999996,0.0113,0.214,0.053,112.99999999999999,2140,530,-115.24005665563708,129.0373626256371,99.20269402999999
