sample,filepath,comment,O_pct,O_ppm,O_err,Mg_pct,Mg_ppm,Mg_err,Al_pct,Al_ppm,Al_err,Si_pct,Si_ppm,Si_err,P_pct,P_ppm,P_err,S_pct,S_ppm,S_err,K_pct,K_ppm,K_err,Ca_pct,Ca_ppm,Ca_err,Ti_pct,Ti_ppm,Ti_err,Mn_pct,Mn_ppm,Mn_err,Fe_pct,Fe_ppm,Fe_err,Ni_pct,Ni_ppm,Ni_err,Cu_pct,Cu_ppm,Cu_err,Zn_pct,Zn_ppm,Zn_err,Ga_pct,Ga_ppm,Ga_err,Rb_pct,Rb_ppm,Rb_err,Sr_pct,Sr_ppm,Sr_err,Y_pct,Y_ppm,Y_err,Zr_pct,Zr_ppm,Zr_err,Nb_pct,Nb_ppm,Nb_err,Ba_pct,Ba_ppm,Ba_err,Pb_pct,Pb_ppm,Pb_err,As_pct,As_ppm,As_err,Rh_pct,Rh_ppm,Rh_err,Sn_pct,Sn_ppm,Sn_err,Te_pct,Te_ppm,Te_err,Cl_pct,Cl_ppm,Cl_err,Mo_pct,Mo_ppm,Mo_err,Ag_pct,Ag_ppm,Ag_err,I_pct,I_ppm,I_err,La_pct,La_ppm,La_err,Ce_pct,Ce_ppm,Ce_err,Er_pct,Er_ppm,Er_err,Yb_pct,Yb_ppm,Yb_err,Ta_pct,Ta_ppm,Ta_err,Th_pct,Th_ppm,Th_err,U_pct,U_ppm,U_err,Ge_pct,Ge_ppm,Ge_err,Se_pct,Se_ppm,Se_err,W_pct,W_ppm,W_err,Gd_pct,Gd_ppm,Gd_err,Hf_pct,Hf_ppm,Hf_err,Sb_pct,Sb_ppm,Sb_err,Cd_pct,Cd_ppm,Cd_err,Re_pct,Re_ppm,Re_err,Br_pct,Br_ppm,Br_err,V_pct,V_ppm,V_err,Cr_pct,Cr_ppm,Cr_err,Cs_pct,Cs_ppm,Cs_err,In_pct,In_ppm,In_err,Co_pct,Co_ppm,Co_err,Bi_pct,Bi_ppm,Bi_err,Na_pct,Na_ppm,Na_err,Ir_pct,Ir_ppm,Ir_err,Pd_pct,Pd_ppm,Pd_err,Au_pct,Au_ppm,Au_err,Ru_pct,Ru_ppm,Ru_err,Os_pct,Os_ppm,Os_err,Tm_pct,Tm_ppm,Tm_err
soil-pellet_CATS02_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/soil-pellet_CATS02_A.prf,soil-pellet_19-July_CATS02_A,47.95,479500.0,0.107,0.648,6480.0,0.165,4.631,46310.0,0.066,34.21,342100.0,0.088,0.099,990.0,0.006,0.092,920.0,0.003,5.028,50279.99999999999,0.096,2.492,24920.0,0.03,0.485,4850.0,0.009,0.083,830.0,0.002,3.994,39940.0,0.012,0.0024,24.0,0.0003,0.0044,44.0,0.0003,0.0451,451.0,0.0005,0.0029,29.0,0.0002,0.0135,135.0,0.0003,0.051,509.99999999999994,0.0,0.0039,39.0,0.0004,0.0371,371.0,0.0005,0.0013,13.0,0.0003,0.085,850.0000000000001,0.006,0.0429,429.0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pXRF_BLANK,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/pXRF_BLANK.prf,pXRF_BLANK,53.255,532550.0,2.64,,,,,,,46.742,467420.0,2.64,,,,,,,,,,,,,,,,,,,0.0029,29.0,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil-bulk_SC04_tibia_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/fossil-bulk_SC04_tibia_A.prf,fossil-bulk_SC04_tibia_A,40.182,401820.0,0.129,0.762,7620.0,0.287,0.528,5280.0,0.076,8.775,87750.0,0.055,10.448,104480.0,0.047,0.269,2690.0,0.005,0.543,5430.0,0.039,36.949,369490.0,0.127,0.101,1010.0000000000001,0.009,0.135,1350.0,0.004,0.213,2130.0,0.003,,,,0.0035,35.0,0.0003,0.0133,133.0,0.0004,,,,,,,0.381,3810.0,0.002,0.241,2410.0,0.001,0.068,680.0,0.001,,,,0.169,1690.0,0.007,0.0387,387.0,0.0013,0.0254,254.0,0.0005,,,,0.006,60.0,0.001,,,,,,,,,,,,,,,,0.112,1120.0,0.008,,,,0.0169,169.0,0.0022,0.0192,192.0,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arms-soil-,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/arms-soil-.prf,arms-soil-1_portable-pill,45.475,454750.0,0.105,1.057,10570.0,0.177,8.056,80559.99999999999,0.075,26.389,263890.0,0.075,0.933,9330.0,0.011,0.173,1729.9999999999998,0.003,6.997,69970.0,0.09,4.014,40140.0,0.033,0.678,6780.000000000001,0.01,0.122,1220.0,0.002,5.698,56980.00000000001,0.016,0.0037,37.0,0.0003,0.0094,94.0,0.0003,0.056,560.0,0.001,0.0036,36.0,0.0002,0.02,200.0,0.0004,0.079,790.0,0.0,0.0048,48.0,0.0004,0.062,620.0,0.001,0.0021,21.0,0.0003,0.146,1460.0,0.006,0.0221,221.0,0.0008,0.0014,14.0,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil-bulk_SC01_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/fossil-bulk_SC01_A.prf,fossil-bulk_SC01_A,43.156,431560.0,0.197,2.15,21500.0,0.407,6.018,60180.0,0.126,16.352,163520.0,0.102,5.614,56140.0,0.042,0.118,1180.0,0.004,1.75,17500.0,0.067,22.094,220940.0,0.117,0.25,2500.0,0.011,0.835,8350.0,0.008,0.775,7750.0,0.006,0.0019,19.0,0.0004,0.0042,42.0,0.0003,0.0055,55.0,0.0003,,,,,,,0.295,2950.0,0.002,0.0491,491.0,0.0005,0.014,140.0,0.0006,,,,0.285,2849.9999999999995,0.007,0.005,50.0,0.001,0.0482,482.0,0.0005,0.0037,37.0,0.0004,,,,,,,,,,0.0155,155.0,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,0.161,1610.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil-pellet_CATS04_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/soil-pellet_CATS04_A.prf,soil-pellet_19-July_CATS04_A,47.833,478330.0,0.105,0.827,8270.0,0.159,4.708,47080.0,0.066,33.964,339640.0,0.086,0.116,1160.0,0.005,0.087,869.9999999999999,0.003,5.1,51000.0,0.096,2.603,26030.000000000004,0.031,0.434,4340.0,0.009,0.083,830.0,0.002,3.833,38330.0,0.012,0.0033,33.0,0.0003,0.0039,39.0,0.0003,0.02,200.0,0.0004,0.0033,33.0,0.0003,0.014,140.0,0.0003,0.054,540.0,0.0,0.0039,39.0,0.0004,0.0299,299.0,0.0004,0.0019,19.0,0.0003,0.077,770.0,0.006,0.201,2010.0000000000002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil-bulk_SC04_tooth_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/fossil-bulk_SC04_tooth_A.prf,fossil-bulk_SC04_tooth_A,38.243,382430.0,0.052,,,,0.242,2420.0,0.078,3.249,32490.0,0.035,12.398,123980.0,0.037,0.107,1070.0,0.004,,,,44.627,446270.0,0.068,,,,0.108,1080.0,0.005,0.388,3880.0,0.004,,,,0.0017,17.0,0.0004,0.0254,254.0,0.0006,,,,,,,0.224,2240.0,0.001,0.058,580.0,0.001,0.0145,145.0,0.0007,,,,0.272,2720.0,0.011,,,,0.0085,85.0,0.0004,,,,0.0073,73.0,0.0016,0.0202,202.0,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,80.0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaolinite-pellet_PBP04_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/kaolinite-pellet_PBP04_A.prf,kaolinite-pellet_PBP04_A,48.864,488640.0,0.643,,,,22.066,220660.0,0.296,24.676,246759.99999999997,0.317,0.051,509.99999999999994,0.004,0.0336,336.0,0.0019,3.692,36920.0,0.119,,,,0.0242,242.0,0.0047,0.0054,54.0,0.0009,0.5,5000.0,0.007,,,,0.005,50.0,0.0003,0.0019,19.0,0.0002,0.0124,124.0,0.0003,0.0374,374.0,0.0006,0.0201,201.0,0.0004,0.0013,13.0,0.0003,0.004,40.0,0.0003,0.0031,31.0,0.0003,,,,0.0027,27.0,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil-bulk_UCC03_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/fossil-bulk_UCC03_A.prf,fossil-bulk_UCC03_A,39.957,399570.0,0.132,0.907,9070.0,0.314,0.623,6230.0,0.066,4.569,45690.0,0.032,13.276,132760.0,0.05,0.297,2970.0,0.004,,,,39.587,395870.00000000006,0.134,0.0191,191.0,0.0056,0.078,780.0,0.002,0.133,1330.0,0.002,0.0009,9.0,0.0002,0.0033,33.0,0.0002,0.0174,174.0,0.0003,,,,,,,0.309,3090.0,0.001,,,,,,,,,,0.136,1360.0,0.005,,,,0.0184,184.0,0.0002,,,,0.0048,48.0,0.0008,0.0085,85.0,0.0017,,,,0.0027,27.0,0.0003,,,,0.0376,376.0,0.0022,,,,,,,,,,,,,,,,,,,0.0152,152.0,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil-bulk_UCC07_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/fossil-bulk_UCC07_A.prf,fossil-bulk_UCC07_A,39.708,397080.0,0.133,0.913,9130.0,0.316,0.831,8310.0,0.068,4.244,42440.0,0.031,13.679,136790.0,0.052,0.0431,431.0,0.0029,,,,37.535,375349.99999999994,0.129,0.146,1460.0,0.008,0.065,650.0,0.003,0.276,2760.0000000000005,0.003,,,,0.0034,34.0,0.0004,0.0093,93.0,0.0003,,,,,,,0.255,2550.0,0.001,0.945,9450.0,0.003,0.0031,31.0,0.0004,0.0087,87.0,0.0005,0.125,1250.0,0.006,0.02,200.0,0.0009,0.0269,269.0,0.0003,0.0015,15.0,0.0003,0.0039,39.0,0.0009,,,,,,,,,,,,,0.051,509.99999999999994,0.002,0.231,2310.0,0.008,0.713,7130.0,0.015,,,,0.0487,487.0,0.0017,,,,,,,,,,,,,,,,,,,0.094,940.0,0.005,0.0192,192.0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB01_SC01_portable-pill,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/FB01_SC01_portable-pill.prf,FB01_SC01_portable-pill,36.866,368660.0,0.762,,,,,,,1.393,13930.0,0.032,11.802,118020.0,0.146,0.223,2230.0,0.005,,,,47.665,476650.0,0.577,0.0483,483.0,0.0096,0.374,3740.0,0.006,0.45,4500.0,0.007,,,,0.0041,41.0,0.0004,0.0099,99.0,0.0004,,,,,,,0.63,6300.0,0.008,0.0115,115.0,0.0005,0.0444,444.0,0.001,,,,0.23,2300.0,0.009,,,,0.091,910.0,0.001,0.0027,27.0,0.0006,,,,,,,,,,0.0249,249.0,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,0.131,1310.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil_SC02_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/fossil_SC02_A.prf,fossil_Barstow_SC02_A,39.466,394660.0,0.031,,,,,,,3.768,37680.0,0.028,13.742,137420.0,0.027,0.303,3030.0,0.004,,,,41.647,416470.0,0.042,0.0364,364.0,0.0066,0.185,1850.0,0.003,0.257,2570.0,0.002,0.0016,16.0,0.0003,0.0035,35.0,0.0002,0.0109,109.0,0.0003,,,,,,,0.266,2660.0,0.001,0.0142,142.0,0.0003,0.0466,466.0,0.0005,,,,0.169,1690.0,0.006,0.006,60.0,0.0008,0.0105,105.0,0.0002,,,,0.0049,49.0,0.0009,,,,,,,,,,,,,0.0315,315.0,0.0024,,,,,,,,,,,,,,,,,,,0.0263,263.0,0.0006,,,,,,,,,,,,,,,,0.0052,52.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil-bul,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/fossil-bul.prf,fossil-bulk_CC_RAM_V-2005012_A,39.84,398400.00000000006,0.165,1.795,17950.0,0.38,2.108,21080.0,0.089,7.159,71590.0,0.037,10.523,105230.0,0.052,0.101,1010.0000000000001,0.004,0.68,6800.000000000001,0.051,35.047,350469.99999999994,0.153,0.127,1270.0,0.011,,,,0.52,5200.0,0.005,,,,,,,0.0048,48.0,0.0005,,,,,,,0.25,2500.0,0.001,0.73,7300.0,0.003,,,,0.0087,87.0,0.0007,0.113,1130.0,0.009,0.0061,61.0,0.0011,0.0094,94.0,0.0003,0.0023,23.0,0.0005,0.0066,66.0,0.0013,,,,,,,,,,0.0024,24.0,0.0006,0.067,670.0,0.004,0.285,2849.9999999999995,0.012,0.48,4800.0,0.021,0.0285,285.0,0.0034,0.0299,299.0,0.0022,,,,,,,,,,,,,,,,0.0061,61.0,0.001,0.055,550.0,0.006,,,,,,,0.0074,74.0,0.0011,0.0065,65.0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arms-soil-2,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/arms-soil-2.prf,arms-soil-2_portable-pill,45.381,453810.0,0.095,1.909,19090.0,0.158,8.8,88000.0,0.071,26.267,262670.0,0.069,0.145,1450.0,0.006,0.447,4470.0,0.004,6.845,68450.0,0.081,3.471,34710.0,0.029,0.612,6120.0,0.008,0.136,1360.0,0.002,5.035,50350.0,0.013,0.0042,42.0,0.0003,0.0113,113.0,0.0003,0.058,580.0,0.001,0.0033,33.0,0.0002,0.0187,187.0,0.0003,0.07,700.0000000000001,0.0,0.0044,44.0,0.0003,0.06,600.0,0.0,0.0018,18.0,0.0003,0.141,1409.9999999999998,0.005,0.03,300.0,0.0007,,,,,,,,,,,,,0.55,5500.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil-bulk_UCC06_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/fossil-bulk_UCC06_A.prf,fossil-bulk_UCC06_A,44.08,440800.0,0.102,1.383,13830.0,0.207,6.421,64210.0,0.066,17.304,173039.99999999997,0.055,6.509,65090.0,0.024,0.086,859.9999999999999,0.002,2.029,20290.0,0.033,19.926,199259.99999999997,0.054,0.146,1460.0,0.004,0.0397,397.0,0.0011,1.281,12810.0,0.004,,,,0.0029,29.0,0.0002,0.0073,73.0,0.0002,,,,,,,0.122,1220.0,0.0,0.175,1750.0,0.001,0.0009,9.0,0.0002,0.0028,28.0,0.0002,0.081,810.0,0.003,0.0228,228.0,0.0004,0.0387,387.0,0.0002,0.0008,8.0,0.0001,0.0026,26.0,0.0004,,,,,,,,,,,,,,,,0.074,740.0,0.004,0.226,2260.0,0.007,0.0058,58.0,0.0009,0.0094,94.0,0.0006,,,,0.0008,8.0,0.0002,0.021,210.0,0.0003,0.0002,2.0,0.0001,,,,,,,,,,,,,0.0027,27.0,0.0004,,,,,,,0.0005,5.0,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-28_JPL11,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/6-28_pellets/6-28_JPL11.prf,6-28_JPL11,44.723,447230.0,0.085,1.22,12200.0,0.152,4.229,42290.0,0.053,28.035,280350.0,0.064,0.164,1640.0,0.006,0.241,2410.0,0.002,6.334,63339.99999999999,0.067,7.92,79200.0,0.036,0.775,7750.0,0.008,0.193,1930.0,0.002,5.715,57150.0,0.013,0.004,40.0,0.0003,0.0173,173.0,0.0003,0.128,1280.0,0.001,0.0037,37.0,0.0002,0.0174,174.0,0.0003,0.103,1030.0,0.0,0.0043,43.0,0.0003,0.0319,319.0,0.0004,0.0023,23.0,0.0003,0.082,820.0,0.005,0.0259,259.0,0.0007,0.0013,13.0,0.0002,,,,0.0061,61.0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0052,52.0,0.001,,,,,,,,,,0.0193,193.0,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-28_XPAH58,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/6-28_pellets/6-28_XPAH58.prf,6-28_XPAH58,40.22,402200.0,0.043,,,,0.323,3230.0,0.058,20.471,204710.0,0.046,0.752,7520.0,0.011,0.442,4420.0,0.004,0.982,9820.0,0.034,34.794,347939.99999999994,0.049,0.413,4130.0,0.008,0.0443,443.0,0.0014,1.195,11950.0,0.004,0.0071,71.0,0.0003,0.024,240.0,0.0004,0.098,980.0,0.001,0.0011,11.0,0.0002,0.0034,34.0,0.0003,0.0323,323.0,0.0003,0.0033,33.0,0.0003,0.0116,116.0,0.0003,,,,0.161,1610.0,0.005,0.0061,61.0,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0164,164.0,0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-28_JPL48,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/6-28_pellets/6-28_JPL48.prf,6-28_JPL48,44.245,442450.0,0.086,1.693,16930.0,0.157,4.102,41020.0,0.053,27.085,270850.0,0.063,0.251,2510.0,0.007,0.164,1640.0,0.002,6.541,65410.00000000001,0.068,8.202,82020.0,0.036,0.735,7350.0,0.008,0.198,1980.0,0.002,6.382,63820.0,0.015,0.0058,58.0,0.0003,0.0166,166.0,0.0003,0.0472,472.0,0.0004,0.0042,42.0,0.0002,0.0165,165.0,0.0003,0.115,1150.0,0.0,0.0046,46.0,0.0003,0.0371,371.0,0.0004,0.0021,21.0,0.0003,0.067,670.0,0.005,0.0169,169.0,0.0007,0.0021,21.0,0.0002,,,,0.005,50.0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0194,194.0,0.0035,0.0107,107.0,0.0014,0.028,280.0,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-28_JPL95,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/6-28_pellets/6-28_JPL95.prf,6-28_JPL95,44.785,447849.99999999994,0.087,1.248,12480.0,0.155,4.015,40150.0,0.054,28.152,281520.0,0.066,0.212,2120.0,0.007,0.224,2240.0,0.002,6.073,60730.00000000001,0.071,7.291,72910.0,0.036,0.697,6969.999999999999,0.009,0.22,2200.0,0.002,6.681,66810.0,0.016,0.0064,64.0,0.0003,0.0237,237.0,0.0004,0.068,680.0,0.001,0.0041,41.0,0.0002,0.0188,188.0,0.0003,0.11,1100.0,0.0,0.0051,51.0,0.0004,0.0341,341.0,0.0005,0.0021,21.0,0.0003,0.077,770.0,0.005,0.0264,264.0,0.0008,0.001,10.0,0.0003,,,,0.0037,37.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0193,193.0,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-28_XPAH55,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/6-28_pellets/6-28_XPAH55.prf,6-28_XPAH55,47.113,471130.0,0.075,0.827,8270.0,0.121,4.525,45250.0,0.047,32.477,324769.99999999994,0.06,0.097,970.0,0.004,0.054,540.0,0.001,4.733,47330.0,0.061,3.399,33990.0,0.023,0.517,5170.0,0.006,0.103,1030.0,0.001,5.915,59150.0,0.012,0.0032,32.0,0.0002,0.0052,52.0,0.0002,0.0146,146.0,0.0002,0.0033,33.0,0.0002,0.0138,138.0,0.0002,0.051,509.99999999999994,0.0,0.0045,45.0,0.0003,0.0437,437.0,0.0003,0.0022,22.0,0.0002,0.055,550.0,0.004,0.0077,77.0,0.0005,0.0009,9.0,0.0002,0.0015,15.0,0.0003,0.0033,33.0,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037,37.0,0.0006,,,,0.0175,175.0,0.0028,0.0098,98.0,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-28_JPL09,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/6-28_pellets/6-28_JPL09.prf,6-28_JPL09,46.028,460280.0,0.083,1.017,10169.999999999998,0.141,4.215,42150.0,0.051,30.66,306600.0,0.066,0.136,1360.0,0.006,0.158,1580.0,0.002,5.886,58860.0,0.07,5.085,50850.0,0.03,0.604,6040.0,0.008,0.162,1620.0,0.002,5.726,57260.0,0.013,0.004,40.0,0.0003,0.0106,106.0,0.0003,0.044,440.0,0.0004,0.0047,47.0,0.0002,0.0199,199.0,0.0003,0.071,709.9999999999999,0.0,0.006,60.0,0.0003,0.0348,348.0,0.0004,0.0022,22.0,0.0003,0.075,750.0,0.005,0.0199,199.0,0.0007,0.0022,22.0,0.0002,,,,0.0043,43.0,0.0009,0.0094,94.0,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0171,171.0,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL48,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL48.prf,ash-pellets_15-July_JPL48,44.243,442430.0,0.089,1.561,15610.0,0.165,3.879,38790.0,0.054,27.224,272240.0,0.065,0.211,2110.0,0.007,0.177,1770.0,0.002,6.392,63920.0,0.068,8.372,83720.0,0.037,0.775,7750.0,0.009,0.204,2039.9999999999998,0.002,6.602,66020.0,0.016,0.0057,57.0,0.0003,0.0165,165.0,0.0003,0.0473,473.0,0.0004,0.0039,39.0,0.0002,0.0171,171.0,0.0003,0.12,1200.0,0.0,0.0046,46.0,0.0003,0.0246,246.0,0.0004,0.0023,23.0,0.0003,0.06,600.0,0.005,0.0177,177.0,0.0007,0.0019,19.0,0.0002,,,,0.0037,37.0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,240.0,0.0037,0.0114,114.0,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ash-pellet_JPL61,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/ash_pellets/XRF_15-July_pellets/ash-pellet_JPL61.prf,ash-pellets_15-July_JPL61,46.163,461629.99999999994,0.08,0.974,9740.0,0.136,4.384,43840.0,0.049,30.696,306960.0,0.063,0.132,1320.0,0.005,0.172,1719.9999999999998,0.002,5.607,56070.0,0.068,4.845,48450.0,0.028,0.684,6840.000000000001,0.008,0.167,1670.0,0.002,5.853,58530.0,0.013,0.0049,49.0,0.0003,0.0138,138.0,0.0003,0.0493,493.0,0.0004,0.0045,45.0,0.0002,0.0207,207.0,0.0003,0.062,620.0,0.0,0.008,80.0,0.0003,0.0274,274.0,0.0004,0.003,30.0,0.0003,0.069,690.0000000000001,0.005,0.0272,272.0,0.0008,0.0046,46.0,0.0003,,,,,,,0.0116,116.0,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007,7.0,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,0.0109,109.0,0.0033,0.0077,77.0,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
