EFA.ID,xrf_date,longitude,latitude,xrf_sample_id,xrf_method,xrf_subfolder,xrf_filename
JPL63,2025-06-25,-118.154636,34.165413,6-25_JPL63_bkB.S,pellet,6-25_pellets,6-25_JPL63.prf
JPL73,2025-06-25,-118.130156,34.188432,6-25_JPL73,pellet,6-25_pellets,6-25_JPL73.prf
JPL76,2025-06-25,-118.145178,34.191261,6-25_JPL76,pellet,6-25_pellets,6-25_JPL76.prf
JPL77,2025-06-25,-118.146334,34.189415,6-25_JPL77,pellet,6-25_pellets,6-25_JPL77.prf
JPL09,2025-06-28,-118.127696,34.161591,6-28_JPL09,pellet,6-28_pellets,6-28_JPL09.prf
JPL11,2025-06-28,-118.168567,34.189899,6-28_JPL11,pellet,6-28_pellets,6-28_JPL11.prf
JPL48,2025-06-28,-118.057554,34.161124,6-28_JPL48,pellet,6-28_pellets,6-28_JPL48.prf
JPL95,2025-06-28,-118.118895,34.149446,6-28_JPL95,pellet,6-28_pellets,6-28_JPL95.prf
XPAH55,2025-06-28,-118.10439,34.19345,6-28_XPAH55,pellet,6-28_pellets,6-28_XPAH55.prf
XPAH58,2025-06-28,-118.097225,34.177179,6-28_XPAH58,pellet,6-28_pellets,6-28_XPAH58.prf
JPL43,2025-07-14,-118.02007,34.17599,ash-pellets_14-July_JPL43,pellet,XRF_15-July_pellets,ash_pellet_JPL43.prf
JPL50,2025-07-14,-118.191721,34.199831,ash-pellets_14-July_JPL50,pellet,XRF_15-July_pellets,ash_pellet_JPL50.prf
JPL68,2025-07-14,-118.1630706,34.19871117,ash-pellets_14-July_JPL68,pellet,XRF_15-July_pellets,ash_pellet_JPL68.prf
JPL73,2025-07-14,-118.130156,34.188432,14_July_ash_pellets_JPL73,pellet,XRF_15-July_pellets,ash_pellet_JPL73.prf
JPL79,2025-07-14,-118.146431,34.199635,ash-pellets_14-July_JPL79,pellet,XRF_15-July_pellets,ash_pellet_JPL79.prf
1590,2025-07-15,-118.0888207,34.1399091,ash-pellets_15-July_1590,pellet,XRF_15-July_pellets,ash-pellet_1590.prf
1606,2025-07-15,,,ash-pellets_15-July_1606,pellet,XRF_15-July_pellets,ash-pellet_1606.prf
1620,2025-07-15,-118.123503,34.17194,ash-pellets_15-July_1620,pellet,XRF_15-July_pellets,ash-pellet_1620.prf
1639,2025-07-15,,,ash-pellets_15-July_1639,pellet,XRF_15-July_pellets,ash-pellet_1639.prf
1642,2025-07-15,,,ash-pellets_15-July_1642,pellet,XRF_15-July_pellets,ash-pellet_1642.prf
GPS03,2025-07-15,-118.144,34.13004,ash-pellets_15-July_GPS03,pellet,XRF_15-July_pellets,ash-pellet_GPS03.prf
GPS09,2025-07-15,-118.146214,34.15316,ash-pellets_15-July_GPS09,pellet,XRF_15-July_pellets,ash-pellet_GPS09.prf
JPL06,2025-07-15,-118.110278,34.176361,ash-pellets_15-July_JPL06,pellet,XRF_15-July_pellets,ash-pellet_JPL06.prf
JPL07,2025-07-15,-118.162948,34.161926,ash-pellets_15-July_JPL07,pellet,XRF_15-July_pellets,ash-pellet_JPL07.prf
JPL09,2025-07-15,-118.127696,34.161591,ash-pellets_15-July_JPL09,pellet,XRF_15-July_pellets,ash-pellet_JPL09.prf
JPL11,2025-07-15,-118.168567,34.189899,ash-pellets_15-July_JPL11,pellet,XRF_15-July_pellets,ash-pellet_JPL11.prf
JPL15,2025-07-15,-118.1755,34.175306,ash-pellets_15-July_JPL15,pellet,XRF_15-July_pellets,ash-pellet_JPL15.prf
JPL18,2025-07-15,-118.186769,34.171063,ash-pellets_15-July_JPL18,pellet,XRF_15-July_pellets,ash-pellet_JPL18.prf
JPL25,2025-07-15,-118.10011,34.162417,ash-pellets_15-July_JPL25,pellet,XRF_15-July_pellets,ash-pellet_JPL25.prf
JPL28,2025-07-15,,,ash-pellets_15-July_JPL28,pellet,XRF_15-July_pellets,ash-pellet_JPL28.prf
JPL29,2025-07-15,-118.0829862,34.1835037,ash-pellets_15-July_JPL29,pellet,XRF_15-July_pellets,ash-pellet_JPL29.prf
