Sample,Method,Ag_ppm,Al,As_ppm,Ba,Ba_ppm,Bi_ppm,Br,Br_ppm,Ca,Cd_ppm,Ce_ppm,Cl,Co_ppm,Cr_ppm,Cs_ppm,Cu,Cu_ppm,Fe,Ga_ppm,Ge_ppm,I_ppm,In_ppm,Ir_ppm,K,La_ppm,Mg,Mn,Mn_ppm,Mo,Mo_ppm,Na,Nb_ppm,Ni_ppm,O,Os_ppm,P,Pb,Pb_ppm,Pd_ppm,Rb_ppm,Re_ppm,Rh_ppm,Ru_ppm,S,S_ppm,Sb_ppm,Si,Sn_ppm,Sr,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti,Ti_ppm,U_ppm,V_ppm,Y_ppm,Zn,Zn_ppm,Zr,Zr_ppm
JPL51,pellet,,4.325,80.0,0.077,,,,,6.055,,,,,,,,101.0,4.708,129.0,,,,,5.695,,1.04,0.175,,,,,15.0,35.0,46.113,,0.23,,265.0,,132.0,,,,0.217,,,30.566,37.0,0.098,,,102.0,,0.518,,,185.0,39.0,,435.0,,263.0
JPL51,powder,,6.292,28.0,,,,,,12.684,,,,,,,,123.0,7.371,58.0,,,,,9.013,,1.731,0.327,,,,,,47.0,41.027,,0.355,,342.0,,188.0,,,,0.364,,,19.627,,0.123,,,,,0.884,,,,41.0,0.07,,0.051,
JPL52,pellet,,3.504,8.0,0.069,,,,,9.422,,,,,,,,117.0,5.514,36.0,8.0,,,,5.87,,1.445,0.249,,,,,23.0,37.0,44.568,,0.236,,145.0,,134.0,,,,0.201,,,28.034,,0.133,,,,,0.59,,,163.0,46.0,0.056,,,393.0
JPL52,powder,,4.723,222.0,,,,,,19.165,,,,,,,,222.0,9.393,59.0,,,,,8.609,,2.43,0.475,,,,,,70.0,38.192,,0.468,,274.0,,198.0,,,,0.355,,,14.666,,,,,,,1.094,,,,50.0,0.102,,,433.0
JPL58,pellet,,3.622,,0.096,,,,,8.766,,,,,,,,152.0,4.697,33.0,,,,,6.095,,1.065,0.198,,,11.0,,25.0,44.0,44.914,,0.181,,53.0,,178.0,,,,0.248,,,28.821,,0.1,,,,,0.8,,,261.0,52.0,0.236,,,315.0
JPL58,powder,,6.211,17.0,0.109,,,,,13.571,,,,,,,,223.0,7.039,54.0,,,,,8.343,,2.065,0.286,,,,,33.0,54.0,40.709,,0.278,,401.0,,231.0,,,,0.429,,,18.416,,0.113,,,115.0,,2.128,,,,53.0,0.151,,,331.0
JPL59,pellet,,4.45,13.0,0.08,,,,,6.322,,,,,,,,147.0,4.908,34.0,,,29.0,,6.324,,0.918,0.181,,,,,23.0,48.0,45.636,,0.194,,285.0,,203.0,,,,0.215,,,29.753,,0.078,,,,,0.729,,,206.0,59.0,0.077,,,290.0
JPL59,powder,,6.299,25.0,0.079,,,,,11.558,,,,,,,,216.0,7.788,62.0,,139.0,,,8.52,,2.204,0.303,,,38.0,,38.0,59.0,41.231,,0.329,,426.0,,273.0,,,,0.381,,,19.614,,0.097,,,,62.0,1.287,,,,68.0,0.121,,,451.0
JPL61,pellet,,4.384,46.0,0.069,,,,,4.845,,,,,77.0,,,138.0,5.853,45.0,7.0,,,,5.607,,0.974,0.167,,,,,30.0,49.0,46.163,,0.132,,272.0,,207.0,,,,0.172,,,30.696,,0.062,,,116.0,,0.684,,,109.0,80.0,,493.0,,274.0
JPL61,powder,,7.052,,,,,,,9.739,,,,,,,,167.0,9.313,65.0,,,,,8.065,,2.037,0.299,,,,,45.0,59.0,41.592,,0.252,,440.0,,281.0,,44.0,,0.313,,,19.874,,0.084,,,,84.0,1.133,,,,93.0,0.083,,,365.0
JPL63,pellet,,4.154,11.0,0.083,,,,,7.555,,,,,,,,138.0,5.708,39.0,,,,,6.625,,1.266,0.216,,,,,24.0,46.0,44.76,,0.171,,321.0,,211.0,,,,0.247,,,28.206,39.0,0.096,,,,,0.7,,,201.0,63.0,0.072,,,322.0
JPL63,powder,,5.834,40.0,,,,,,14.424,,,,,,,,235.0,8.192,60.0,,,,,9.393,,2.496,0.402,,,,,29.0,51.0,39.785,,0.394,,439.0,,276.0,,,,0.425,,,17.18,,0.122,,,,,1.068,,,,79.0,0.133,,,326.0
