Sample,Method,Ag_ppm,Al,As_ppm,Ba,Ba_ppm,Bi_ppm,Br,Br_ppm,Ca,Cd_ppm,Ce_ppm,Cl,Co_ppm,Cr_ppm,Cs_ppm,Cu,Cu_ppm,Fe,Ga_ppm,Ge_ppm,I_ppm,In_ppm,Ir_ppm,K,La_ppm,Mg,Mn,Mn_ppm,Mo,Mo_ppm,Na,Nb_ppm,Ni_ppm,O,Os_ppm,P,Pb,Pb_ppm,Pd_ppm,Rb_ppm,Re_ppm,Rh_ppm,Ru_ppm,S,S_ppm,Sb_ppm,Si,Sn_ppm,Sr,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti,Ti_ppm,U_ppm,V_ppm,Y_ppm,Zn,Zn_ppm,Zr,Zr_ppm
XPAH26,pellet,,0.87,5.0,,309.0,116.0,,275.0,6.199,,,2.562,307.0,207.0,,,408.0,0.855,33.0,,,,61.0,,,1.565,,294.0,0.076,,16.566,9.0,45.0,41.6,,,,117.0,,21.0,,,,0.821,,32.0,25.394,92.0,,156.0,,,,0.311,,,,13.0,2.925,,,64.0
XPAH26,powder,,1.448,,,,158.0,,379.0,11.161,,,3.455,476.0,91.0,,0.075,,2.372,,,,,,1.746,,2.686,0.058,,0.069,,10.973,,82.0,39.16,,,,105.0,,28.0,,,,1.489,,52.0,19.753,88.0,,216.0,,,,0.652,,,,13.0,4.725,,,87.0
XPAH28,pellet,,2.765,,0.153,,,,203.0,5.043,,,,,91.0,112.0,0.211,,1.833,,,,,,2.372,,11.796,0.062,,,,,18.0,29.0,45.354,,,2.323,,,89.0,,,,0.232,,61.0,27.079,114.0,,264.0,,,,0.395,,,102.0,,0.256,,,182.0
XPAH28,powder,,2.944,,0.178,,,,319.0,9.615,,,,,110.0,,0.422,,2.829,,,,87.0,,2.346,,14.488,0.108,,,,,24.0,47.0,42.249,138.0,,2.943,,36.0,116.0,,,,0.311,,82.0,20.263,125.0,,364.0,,,,0.65,,,,,0.484,,,207.0
XPAH29,pellet,,5.14,10.0,0.052,,,,,2.454,,,,,75.0,,,62.0,5.458,36.0,,,,,5.253,,0.832,0.111,,,,,23.0,46.0,47.284,,0.068,,152.0,,180.0,,,,0.079,,,32.531,42.0,,369.0,,95.0,,0.557,,,149.0,56.0,,236.0,,279.0
XPAH29,powder,,9.036,39.0,,,,,,4.54,,,,,,,,114.0,10.405,64.0,,,,,8.07,,1.452,0.22,,,,,42.0,67.0,42.958,,0.086,,170.0,,291.0,,,,0.218,,,21.609,,0.054,,,,,1.192,,,,88.0,,466.0,,256.0
XPAH55,pellet,,4.516,6.0,0.063,,15.0,,,3.235,,,,,88.0,,,41.0,5.531,29.0,,,,,4.772,,0.832,0.097,,,,,17.0,33.0,47.258,,0.09,,108.0,,136.0,,,,0.053,,,32.769,38.0,,484.0,,,,0.592,,,195.0,42.0,,153.0,0.053,
XPAH55,powder,,6.455,,0.067,,,,,6.031,,,,,,,,56.0,9.492,46.0,,,,,7.174,,1.416,0.158,,,,,40.0,46.0,43.395,,0.153,,173.0,,186.0,,,,0.104,,,24.039,,0.063,,,,,1.277,,,273.0,88.0,,225.0,0.062,
XPAH58,pellet,,0.372,,0.153,,,,,34.166,,,,,142.0,188.0,,235.0,1.155,12.0,,,,,1.006,,,,455.0,,,,11.0,73.0,40.438,,0.806,,64.0,,35.0,,,,0.482,,,20.738,,,315.0,,68.0,,0.418,,,,27.0,0.093,,,107.0
XPAH58,powder,,0.797,,0.215,,,,,53.223,,,,,,,,423.0,2.263,,,,,,1.103,,,0.086,,,,,24.0,142.0,33.312,,1.487,,105.0,,52.0,,,,0.812,,69.0,5.539,,0.057,,,,,0.836,,,,48.0,0.172,,,112.0
