sample_id,method,Pb_La1_cps,Pb_La1_err_cps,Pb_La2_cps,Pb_La2_err_cps,Pb_Lb1_cps,Pb_Lb1_err_cps,Pb_Lb2_cps,Pb_Lb2_err_cps,Pb_Lb3_cps,Pb_Lb3_err_cps,Pb_Lb4_cps,Pb_Lb4_err_cps,Pb_Lg1_cps,Pb_Lg1_err_cps,Pb_Ll_cps,Pb_Ll_err_cps
JPL50,powder,64.914,5.32,7.146,0.586,47.571,3.898,22.391,1.835,6.119,0.501,4.615,0.378,12.178,0.998,2.722,0.223
JPL51,pellet,99.289,3.042,10.928,0.335,72.933,2.235,34.329,1.052,9.363,0.287,7.073,0.217,18.679,0.572,4.146,0.127
JPL51,powder,99.443,5.818,10.939,0.64,73.746,4.314,34.714,2.031,9.493,0.555,7.145,0.418,18.997,1.111,4.103,0.24
JPL52,pellet,47.94,2.264,5.277,0.249,35.206,1.662,16.571,0.782,4.529,0.214,3.415,0.161,9.02,0.426,2.003,0.095
JPL52,powder,60.992,5.171,6.715,0.569,44.621,3.783,21.003,1.781,5.739,0.487,4.33,0.367,11.408,0.967,2.562,0.217
JPL58,pellet,185.964,2.697,20.47,0.297,136.558,1.981,64.279,0.932,17.568,0.255,13.245,0.192,34.922,0.507,7.848,0.114
JPL58,powder,121.828,3.424,13.411,0.377,89.356,2.511,42.06,1.182,11.495,0.323,8.668,0.244,22.871,0.643,5.117,0.144
JPL59,pellet,101.427,2.562,11.164,0.282,74.524,1.882,35.079,0.886,9.588,0.242,7.228,0.183,19.086,0.482,4.242,0.107
JPL59,powder,124.172,3.491,13.67,0.384,91.008,2.559,42.837,1.204,11.707,0.329,8.829,0.248,23.278,0.654,5.21,0.146
JPL61,pellet,98.012,2.738,10.789,0.301,71.921,2.009,33.853,0.946,9.252,0.258,6.976,0.195,18.409,0.514,4.097,0.114
JPL61,powder,123.566,5.835,13.603,0.642,90.63,4.28,42.659,2.014,11.659,0.551,8.791,0.415,23.193,1.095,5.172,0.244
JPL63,pellet,107.244,2.548,11.805,0.28,78.69,1.869,37.039,0.88,10.123,0.24,7.633,0.181,20.135,0.478,4.49,0.107
JPL63,powder,116.908,6.069,12.871,0.668,85.61,4.444,40.296,2.092,11.012,0.572,8.306,0.431,21.89,1.136,4.913,0.255
JPL68,pellet,99.529,2.465,10.955,0.271,73.113,1.811,34.414,0.852,9.406,0.233,7.091,0.176,18.723,0.464,4.172,0.103
JPL68,powder,92.176,3.393,10.148,0.374,67.476,2.484,31.761,1.169,8.679,0.319,6.547,0.241,17.255,0.635,3.887,0.143
JPL73,pellet,1126.774,4.915,124.055,0.541,823.754,3.594,387.861,1.692,105.94,0.462,79.945,0.349,207.805,0.907,48.605,0.212
JPL73,powder,1339.956,7.498,147.546,0.826,978.166,5.473,460.576,2.577,125.788,0.704,94.945,0.531,246.359,1.378,57.847,0.324
JPL76,pellet,463.044,3.627,50.972,0.399,339.626,2.661,159.88,1.252,43.689,0.342,32.946,0.258,86.536,0.678,19.88,0.156
JPL76,powder,451.6,4.794,49.717,0.528,330.799,3.512,155.721,1.653,42.551,0.452,32.094,0.341,84.302,0.895,19.403,0.206
JPL77,pellet,398.881,3.36,43.906,0.37,292.862,2.467,137.863,1.161,37.676,0.317,20.406,0.239,74.712,0.629,16.963,0.143
JPL77,powder,358.018,7.511,39.412,0.827,262.54,5.508,123.585,2.593,33.773,0.708,25.468,0.534,67.025,1.406,15.204,0.319
JPL79,pellet,650.564,3.928,71.612,0.432,477.32,2.882,224.709,1.357,61.403,0.371,46.302,0.28,121.448,0.733,27.821,0.168
JPL79,powder,727.538,9.874,80.097,1.087,532.693,7.28,250.778,3.403,68.518,0.93,51.685,0.701,135.35,1.837,31.238,0.424
JPL86,pellet,183.501,2.863,20.198,0.315,134.844,2.104,63.473,0.99,17.349,0.271,13.078,0.204,34.493,0.538,7.722,0.12
JPL89,pellet,106.989,2.551,11.777,0.281,78.562,1.873,36.979,0.882,10.107,0.241,7.62,0.182,20.111,0.48,4.478,0.107
JPL89,powder,99.286,5.585,10.932,0.615,72.599,4.084,34.172,1.922,9.338,0.525,7.045,0.396,18.546,1.043,4.193,0.236
JPL94,pellet,84.494,2.457,9.304,0.271,61.938,1.801,29.154,0.848,7.968,0.232,6.009,0.175,15.844,0.461,3.551,0.103
JPL94,powder,76.208,5.729,8.391,0.631,55.733,4.19,26.233,1.972,7.168,0.539,5.408,0.407,14.245,1.071,3.21,0.241
JPL95,pellet,82.307,2.42,9.061,0.268,60.34,1.774,28.402,0.835,7.762,0.228,5.854,0.172,15.436,0.454,3.447,0.101
JPL95,powder,63.232,5.618,6.963,0.619,46.181,4.103,21.737,1.931,5.939,0.528,4.482,0.398,11.797,1.048,2.667,0.237
PBP01_pellet_A,pellet,256.261,3.183,28.19,0.35,189.861,2.358,89.377,1.11,24.438,0.303,18.398,0.228,48.629,0.604,10.587,0.131
PBP01_pellet_B,pellet,239.671,3.212,26.363,0.353,177.77,2.383,83.684,1.122,22.883,0.307,17.224,0.231,45.612,0.611,9.888,0.133
PBP01_pellet_C,pellet,248.048,3.226,27.282,0.355,184.19,2.396,86.705,1.128,23.711,0.308,17.844,0.232,47.307,0.615,10.22,0.133
PBP01_powder_1,powder,117.592,3.094,12.932,0.34,87.53,2.303,41.202,1.084,11.27,0.297,8.477,0.223,22.566,0.594,4.832,0.127
PBP01_powder_2,powder,134.755,3.108,14.82,0.342,100.245,2.312,47.187,1.088,12.907,0.298,9.709,0.224,25.831,0.596,5.542,0.128
PBP01_powder_3,powder,97.488,3.059,10.722,0.336,72.482,2.275,34.119,1.071,9.332,0.293,7.021,0.22,18.678,0.586,4.012,0.126
