Base_ID,Sample_Type,Latitude,Longitude,Pb_icpms,Zn_icpms,Cu_icpms,As_icpms,Pb_xrf_wt,Zn_xrf_wt,Cu_xrf_wt,Pb_xrf_ppm,Zn_xrf_ppm,Cu_xrf_ppm,Pb_predicted_H0,Pb_residual_H0,Pb_bias_H0,Pb_La1_cts,Pb_Lb1_cts,Pb_Lb2_cts,Pb_Lb_sum,Pb_predicted_H1b,Pb_residual_H1b
1590,ASH,34.1399091,-118.0888207,53.09668291,446.3439318,857.7296493,6.138394322,0.0395,0.181,0.311,395,1810,3110,46.35345800298814,6.743224907011857,341.90331709,79.548,58.238,27.412,85.65,-11.424912151452489,64.52159506145249
1620,ASH,34.17194,-118.123503,54.27586207,165.5431034,40.75,6.474137931,0.0162,0.066,0.0207,162,660,207,-87.16175091708163,141.43761298708165,107.72413793,65.864,48.37,22.767,71.137,-34.73146460586028,89.00732667586028
GPS03,ASH,34.13004,-118.144,53.07316245,351.3769855,63.1412941,6.690810802,0.0432,0.109,0.0341,432,1090,341,67.55544396883614,-14.482281518836146,378.92683755,73.599,53.951,25.394,79.345,-21.550166283957225,74.62332873395722
GPS09,ASH,34.15316,-118.146214,49.43502825,147.0998117,39.47269303,5.612052731,0.0419,0.087,0.0184,419,869.9999999999999,184,60.10609754840305,-10.671069298403047,369.56497175,90.205,66.231,31.175,97.40599999999999,7.454150113690321,41.980878136309684
JPL06,ASH,34.176361,-118.110278,55.01195219,158.310757,60,4.462151394,0.0171,0.064,0.0272,171,640,272,-82.00451108755102,137.01646327755103,115.98804781,52.197,38.387,18.068,56.455,-58.30941562464449,113.32136781464449
JPL07,ASH,34.161926,-118.162948,88.05642307,787.6254346,71.21923405,6.943947332,0.0397,0.19,0.0322,397,1900,322,47.49951129843937,40.55691177156062,308.94357693,103.223,75.822,35.689,111.511,30.105491832798837,57.95093123720116
JPL09,ASH,34.161591,-118.127696,64.34594595,176.3675676,37.2,5.264864865,0.0464,0.104,0.0233,463.99999999999994,1040,233,85.892296696056,-21.546350746055992,399.65405404999996,74.458,54.647,25.722,80.369,-19.90571581104924,84.25166176104923
JPL11,ASH,34.189899,-118.168567,51.76817289,503.0255403,53.45776031,6.326129666,0.0413,0.234,0.0293,413.00000000000006,2340,293,56.66793766204934,-4.899764772049338,361.23182711000004,99.306,72.867,34.298,107.165,23.12621277492962,28.641960115070383
JPL15,ASH,34.175306,-118.1755,61.40461216,487.966457,58.16561845,5.34591195,0.051,0.23,0.0269,509.99999999999994,2300,269,112.25152249143457,-50.84691033143457,448.59538783999994,92.349,67.956,31.987,99.943,11.52834039666646,49.87627176333354
JPL18,ASH,34.171063,-118.186769,44.82206406,367.6512456,46.83274021,5.213523132,0.0383,0.297,0.0312,383,2970,312,39.47713823028069,5.344925829719315,338.17793594,60.703,44.62,21.002,65.622,-43.58805089305514,88.41011495305514
