term,estimate,std.error,statistic,p.value,Model
(Intercept),-184.76003879193772,78.20894019759547,-2.3623902628668807,0.024207218786450903,H0: XRF wt%
Pb_xrf_wt,5732.340156215547,141.27736584036802,40.57507812463482,9.641845730178348e-30,H0: XRF wt%
(Intercept),-148.97098930435175,42.83851178039841,-3.477501507709152,0.001441135582499709,H1b: Lβ1+Lβ2
Pb_Lb_sum,1.6059086649492031,0.021606856507296008,74.32403063383767,2.5476915992258284e-38,H1b: Lβ1+Lβ2
