Element,Mean,Median,Range,CV (%)
Ca,"52,728","33,378","10,148–322,441",116
Fe,"36,577","38,332","8,336–64,081",37
Al,"36,613","43,973","1,912–56,585",45
K,"18,858","19,522","3,101–35,972",31
Mg,"13,947","11,876","1,089–117,363",125
Na,"13,271","14,451","3,731–22,361",37
Ti,"6,138","5,246","3,171–19,222",55
Mn,962,898,"273–2,742",48
