sample_id,method,Ag_value_ppm,Ag_err_ppm,Al_value_ppm,Al_err_ppm,As_value_ppm,As_err_ppm,Ba_value_ppm,Ba_err_ppm,Bi_value_ppm,Bi_err_ppm,Br_value_ppm,Br_err_ppm,Ca_value_ppm,Ca_err_ppm,Cd_value_ppm,Cd_err_ppm,Ce_value_ppm,Ce_err_ppm,Cl_value_ppm,Cl_err_ppm,Co_value_ppm,Co_err_ppm,Cr_value_ppm,Cr_err_ppm,Cs_value_ppm,Cs_err_ppm,Cu_value_ppm,Cu_err_ppm,Fe_value_ppm,Fe_err_ppm,Ga_value_ppm,Ga_err_ppm,Ge_value_ppm,Ge_err_ppm,I_value_ppm,I_err_ppm,In_value_ppm,In_err_ppm,Ir_value_ppm,Ir_err_ppm,K_value_ppm,K_err_ppm,La_value_ppm,La_err_ppm,Mg_value_ppm,Mg_err_ppm,Mn_value_ppm,Mn_err_ppm,Mo_value_ppm,Mo_err_ppm,Na_value_ppm,Na_err_ppm,Nb_value_ppm,Nb_err_ppm,Ni_value_ppm,Ni_err_ppm,O_value_ppm,O_err_ppm,Os_value_ppm,Os_err_ppm,P_value_ppm,P_err_ppm,Pb_value_ppm,Pb_err_ppm,Pd_value_ppm,Pd_err_ppm,Rb_value_ppm,Rb_err_ppm,Re_value_ppm,Re_err_ppm,Rh_value_ppm,Rh_err_ppm,Ru_value_ppm,Ru_err_ppm,S_value_ppm,S_err_ppm,Sb_value_ppm,Sb_err_ppm,Si_value_ppm,Si_err_ppm,Sn_value_ppm,Sn_err_ppm,Sr_value_ppm,Sr_err_ppm,Ta_value_ppm,Ta_err_ppm,Te_value_ppm,Te_err_ppm,Th_value_ppm,Th_err_ppm,Ti_value_ppm,Ti_err_ppm,U_value_ppm,U_err_ppm,V_value_ppm,V_err_ppm,Y_value_ppm,Y_err_ppm,Zn_value_ppm,Zn_err_ppm,Zr_value_ppm,Zr_err_ppm
GPS03,powder,NA,NA,61390,990,NA,NA,NA,NA,NA,NA,NA,NA,156530,1110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,10.7,94920,450,61,6,NA,NA,NA,NA,NA,NA,NA,NA,66160,1400,NA,NA,24040,3130,4110,80,56,8.3,NA,NA,32,7.6,80,9.6,401300,1570,NA,NA,3600,120,401,20.7,NA,NA,248,8.4,NA,NA,NA,NA,NA,NA,3090,40,NA,NA,171230,870,NA,NA,1540,10,NA,NA,NA,NA,87,13.1,9260,230,NA,NA,330,100,71,8.8,880,20,330,11.3
GPS05,powder,NA,NA,16870,1000,34,6.3,NA,NA,NA,NA,NA,NA,289580,1730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,9.9,48570,310,32,4.9,NA,NA,NA,NA,NA,NA,NA,NA,133930,1710,NA,NA,23260,3940,6180,100,NA,NA,NA,NA,NA,NA,48,7.8,347650,1690,NA,NA,9060,160,194,19.2,NA,NA,87,6.8,NA,NA,NA,NA,NA,NA,3640,50,NA,NA,112770,750,NA,NA,1820,10,NA,NA,NA,NA,NA,NA,5440,210,NA,NA,NA,NA,NA,NA,560,10,NA,NA
GPS09,pellet,NA,NA,45710,490,10,2.3,650,50,NA,NA,NA,NA,48680,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,2.5,55940,120,36,1.8,NA,NA,NA,NA,NA,NA,NA,NA,59400,690,NA,NA,13890,1330,1660,20,NA,NA,NA,NA,25,2.7,40,2.7,459970,790,NA,NA,1330,50,240,6.5,NA,NA,196,2.8,NA,NA,NA,NA,NA,NA,1510,20,52,9,302570,620,58,8.1,680,0,NA,NA,95,17.3,NA,NA,6260,70,NA,NA,149,31.3,57,3,347,3.5,360,3.6
GPS09,powder,NA,NA,66720,980,NA,NA,NA,NA,NA,NA,NA,NA,97580,940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,8.4,99520,450,56,6.1,NA,NA,NA,NA,NA,NA,NA,NA,91360,1670,NA,NA,16670,2840,2530,60,NA,NA,NA,NA,40,7.1,55,8.5,410740,1550,NA,NA,3460,110,389,21,NA,NA,266,8.4,NA,NA,NA,NA,NA,NA,2910,40,NA,NA,194550,920,NA,NA,790,10,NA,NA,NA,NA,NA,NA,11170,240,NA,NA,NA,NA,73,8.5,700,10,266,10
JPL06,pellet,NA,NA,23110,520,13,2.4,740,50,NA,NA,NA,NA,154050,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,3.4,42040,120,27,2,NA,NA,NA,NA,NA,NA,NA,NA,75270,700,NA,NA,18460,1870,3440,30,NA,NA,NA,NA,20,3.2,39,3,422650,940,NA,NA,4420,80,168,7.3,NA,NA,137,3.1,NA,NA,NA,NA,NA,NA,2360,30,NA,NA,245700,650,NA,NA,1970,10,NA,NA,NA,NA,NA,NA,4290,80,NA,NA,245,36,40,3.5,430,4.3,213,4.5
JPL06,powder,NA,NA,25020,980,24,4.1,401,61.2,NA,NA,NA,NA,248110,1220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,5.8,69980,330,38,3.2,NA,NA,NA,NA,62,10.3,NA,NA,105470,980,NA,NA,24910,3840,4640,50,23,4.4,NA,NA,20,4.1,64,4.7,365320,1580,NA,NA,7070,150,225,12.2,NA,NA,165,4.7,NA,NA,NA,NA,NA,NA,3610,50,NA,NA,133640,790,NA,NA,1700,10,NA,NA,NA,NA,NA,NA,8210,140,NA,NA,327,61.7,34,4.7,560,10,111,6.1
JPL07,pellet,NA,NA,38690,540,13,2.8,940,50,NA,NA,NA,NA,89770,400,NA,NA,NA,NA,NA,NA,NA,NA,78,14.5,NA,NA,218,3.8,52620,130,40,2.2,NA,NA,NA,NA,NA,NA,NA,NA,64790,720,NA,NA,11010,1610,2510,20,NA,NA,NA,NA,23,3.2,91,3.5,444860,890,NA,NA,1970,60,351,8.1,NA,NA,199,3.2,NA,NA,NA,NA,NA,NA,2930,30,NA,NA,277840,660,79,9.7,1120,0,NA,NA,NA,NA,NA,NA,8140,90,NA,NA,233,39.7,68,3.6,1100,10,329,4.3
JPL07,powder,NA,NA,53810,1040,35,4.7,NA,NA,NA,NA,NA,NA,167010,870,NA,NA,NA,NA,1980,30,NA,NA,NA,NA,NA,NA,246,6.2,80450,340,43,3.5,NA,NA,NA,NA,NA,NA,NA,NA,95040,980,NA,NA,22530,3380,4530,50,NA,NA,NA,NA,13,3.7,70,5.3,389240,1520,NA,NA,4040,120,430,18.6,NA,NA,171,4.4,NA,NA,NA,NA,NA,NA,4160,50,NA,NA,159250,830,50,8.5,880,10,NA,NA,NA,NA,NA,NA,13880,170,NA,NA,333,68.3,47,4.4,1640,10,113,5.2
JPL09,pellet,NA,NA,42150,510,22,2.3,750,50,NA,NA,NA,NA,50850,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,2.7,57260,130,47,2,NA,NA,NA,NA,NA,NA,NA,NA,58860,700,NA,NA,10170,1410,1620,20,NA,NA,NA,NA,22,2.9,40,2.9,460280,830,NA,NA,1360,60,199,7,NA,NA,199,2.9,NA,NA,NA,NA,NA,NA,1580,20,NA,NA,306600,660,43,8.7,710,0,NA,NA,94,18.3,NA,NA,6040,80,NA,NA,171,33.2,60,3.2,440,4.1,348,3.9
JPL09,powder,NA,NA,67130,1000,32,8,NA,NA,NA,NA,NA,NA,100820,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,9.7,96800,450,62,5.9,NA,NA,NA,NA,NA,NA,NA,NA,85490,1720,NA,NA,18660,2940,2860,70,NA,NA,NA,NA,32,7.9,52,9.4,412430,1600,NA,NA,3150,100,431,22.8,NA,NA,294,8.9,NA,NA,NA,NA,NA,NA,3180,40,NA,NA,195710,940,NA,NA,1000,10,NA,NA,NA,NA,NA,NA,10270,240,NA,NA,NA,NA,89,9.1,830,20,481,11.6
JPL11,pellet,NA,NA,42290,530,13,2.5,820,50,NA,NA,NA,NA,79200,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,3.3,57150,130,37,2.1,NA,NA,NA,NA,NA,NA,NA,NA,63340,670,NA,NA,12200,1520,1930,20,NA,NA,NA,NA,23,2.9,40,2.8,447230,850,NA,NA,1640,60,259,7.2,NA,NA,174,2.9,NA,NA,NA,NA,NA,NA,2410,20,52,9.9,280350,640,61,8.9,1030,0,NA,NA,NA,NA,NA,NA,7750,80,NA,NA,193,36,43,3.2,1280,10,319,3.9
JPL11,powder,41,10.8,56790,990,NA,NA,NA,NA,NA,NA,NA,NA,148190,1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,10.4,88270,430,55,6.4,NA,NA,NA,NA,NA,NA,NA,NA,90770,1640,NA,NA,16130,3180,3010,70,NA,NA,NA,NA,27,7.6,77,9.2,397510,1620,NA,NA,3200,120,384,21.2,NA,NA,227,8.6,NA,NA,NA,NA,NA,NA,4070,50,NA,NA,175220,900,NA,NA,1330,10,NA,NA,NA,NA,NA,NA,12050,260,NA,NA,NA,NA,54,8.8,1880,20,479,11.7
JPL15,pellet,NA,NA,38080,520,NA,NA,900,50,NA,NA,NA,NA,109520,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,2.9,46320,120,32,1.8,NA,NA,NA,NA,NA,NA,NA,NA,60100,650,NA,NA,13120,1660,2450,20,NA,NA,NA,NA,17,2.7,40,2.8,442050,890,NA,NA,2170,60,258,6.6,NA,NA,136,2.7,NA,NA,20,3.6,NA,NA,2020,20,NA,NA,272630,650,45,8.2,1390,0,NA,NA,NA,NA,NA,NA,7450,80,NA,NA,NA,NA,44,2.9,870,10,219,3.8
JPL15,powder,NA,NA,49080,1030,14,4.2,1090,70,NA,NA,NA,NA,199010,980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,5.9,72950,320,48,3.3,NA,NA,NA,NA,NA,NA,NA,NA,89970,940,NA,NA,19890,3510,4180,50,NA,NA,NA,NA,31,4.2,60,4.6,385340,1540,NA,NA,3850,130,357,12.1,NA,NA,183,4.6,NA,NA,NA,NA,NA,NA,3730,50,NA,NA,157200,830,NA,NA,1900,10,NA,NA,NA,NA,NA,NA,8940,140,NA,NA,341,62.7,50,4.9,1270,10,271,6.5
JPL18,pellet,NA,NA,39120,490,20,2.2,770,50,NA,NA,NA,NA,59270,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,2.6,59790,130,37,1.9,NA,NA,NA,NA,NA,NA,NA,NA,51270,650,NA,NA,11250,1410,1720,20,NA,NA,NA,NA,22,2.7,32,2.7,459070,820,NA,NA,1470,60,167,6.6,NA,NA,145,2.7,NA,NA,NA,NA,NA,NA,2000,20,NA,NA,302080,630,41,8.2,850,0,NA,NA,80,17.6,NA,NA,9030,90,NA,NA,238,36.3,41,3,1120,10,260,3.6
JPL18,powder,NA,NA,58720,1010,33,4.2,620,50,NA,NA,NA,NA,117790,670,NA,NA,NA,NA,1650,20,NA,NA,NA,NA,NA,NA,176,5.3,103710,410,58,3.4,NA,NA,NA,NA,NA,NA,NA,NA,89060,960,NA,NA,23140,3150,3630,40,NA,NA,NA,NA,14,4,NA,NA,399710,1460,NA,NA,2790,110,308,12.6,NA,NA,205,4.6,NA,NA,NA,NA,NA,NA,3480,40,NA,NA,174270,840,NA,NA,930,10,NA,NA,NA,NA,NA,NA,17940,180,NA,NA,280,69.1,41,4.6,1250,10,192,5.6
JPL25,pellet,22,4.2,36980,500,7,2.1,NA,NA,NA,NA,NA,NA,86310,360,NA,NA,NA,NA,NA,NA,NA,NA,72,13.1,NA,NA,117,2.8,56720,130,38,1.8,NA,NA,NA,NA,NA,NA,NA,NA,63020,660,NA,NA,16660,1520,1970,20,NA,NA,NA,NA,21,2.7,46,2.8,445340,840,NA,NA,2160,60,169,6.2,NA,NA,163,2.7,NA,NA,NA,NA,NA,NA,1750,20,NA,NA,279300,620,34,8.6,1140,0,NA,NA,45,6.4,36,4.6,6270,80,NA,NA,191,32.9,44,2.9,401,4,230,3.7
JPL25,powder,NA,NA,44620,990,15,3.7,620,60,NA,NA,NA,NA,172450,870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,5.3,89750,370,48,3.2,NA,NA,NA,NA,NA,NA,NA,NA,95950,960,NA,NA,21310,3370,3410,40,NA,NA,NA,NA,31,4.2,59,5.1,387060,1490,NA,NA,5720,130,196,11.1,NA,NA,209,4.7,NA,NA,NA,NA,NA,NA,3080,40,56,12,161370,830,NA,NA,1470,10,NA,NA,NA,NA,NA,NA,11280,150,NA,NA,281,62.7,53,4.8,570,10,210,6.2
JPL28,pellet,NA,NA,33060,530,9,2.5,710,50,NA,NA,NA,NA,124590,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,3.5,55840,140,36,2,NA,NA,NA,NA,NA,NA,NA,NA,74720,690,NA,NA,16350,1790,2770,30,NA,NA,NA,NA,NA,NA,54,3.2,427660,920,NA,NA,3610,70,241,7.3,NA,NA,155,3.1,NA,NA,NA,NA,NA,NA,2150,30,NA,NA,249730,650,NA,NA,1720,10,NA,NA,NA,NA,NA,NA,5240,80,NA,NA,219,35.7,37,3.4,499,4.6,416,4.7
JPL28,powder,NA,NA,33120,800,16,4.9,740,70,NA,NA,NA,NA,218520,890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,47.1,322,7.4,99470,340,54,4,NA,NA,NA,NA,NA,NA,NA,NA,107420,970,NA,NA,18160,2420,5140,60,36,5.5,NA,NA,NA,NA,105,6.1,363820,1090,NA,NA,5310,130,347,14.3,NA,NA,234,5.7,NA,NA,NA,NA,NA,NA,3270,50,NA,NA,129420,630,NA,NA,2300,10,NA,NA,NA,NA,NA,NA,10310,160,NA,NA,364,69.3,46,5.9,930,10,284,7.9
JPL29,pellet,NA,NA,31790,540,NA,NA,730,50,NA,NA,NA,NA,119800,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,3.7,63120,160,38,2.2,NA,NA,NA,NA,NA,NA,NA,NA,63990,690,NA,NA,14520,1800,3110,30,NA,NA,NA,NA,22,3.4,62,3.5,431890,930,NA,NA,2770,70,261,7.8,NA,NA,165,3.3,NA,NA,NA,NA,NA,NA,2300,30,NA,NA,256410,660,42,10,1620,10,NA,NA,NA,NA,34,5.7,6250,90,NA,NA,218,37.7,56,3.7,402,4.3,218,4.6
JPL29,powder,NA,NA,36460,1040,28,7.9,NA,NA,NA,NA,NA,NA,227600,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269,11.5,88040,480,56,6.2,NA,NA,NA,NA,NA,NA,NA,NA,93430,1550,NA,NA,17830,3680,5330,100,NA,NA,NA,NA,NA,NA,82,10.2,371530,1680,NA,NA,5340,140,286,23.5,NA,NA,190,8.9,NA,NA,NA,NA,NA,NA,3270,50,NA,NA,138690,820,NA,NA,1920,20,NA,NA,NA,NA,NA,NA,8860,250,NA,NA,NA,NA,41,9.3,610,10,160,11.9
JPL33,pellet,NA,NA,39740,510,20,2.5,630,50,NA,NA,NA,NA,62250,320,NA,NA,NA,NA,NA,NA,NA,NA,100,13.6,NA,NA,194,3.6,70810,160,45,2.1,NA,NA,100,23.2,NA,NA,NA,NA,49210,660,NA,NA,11000,1500,1840,20,NA,NA,NA,NA,22,3.2,77,3.4,455380,850,NA,NA,1290,50,183,7.4,NA,NA,180,3.2,NA,NA,NA,NA,NA,NA,2280,20,NA,NA,293720,650,63,9.5,830,0,NA,NA,NA,NA,NA,NA,8540,90,NA,NA,212,36.2,62,3.4,950,10,271,4.1
JPL33,powder,NA,NA,64790,1020,29,7.6,NA,NA,NA,NA,NA,NA,113260,970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,11.4,113710,500,73,6.5,NA,NA,NA,NA,NA,NA,NA,NA,71130,1530,NA,NA,22650,2900,3080,70,NA,NA,NA,NA,37,8.2,115,10.4,406810,1530,NA,NA,3280,110,264,23.1,NA,NA,255,9.1,NA,NA,NA,NA,NA,NA,4450,50,NA,NA,176600,870,NA,NA,1060,10,NA,NA,NA,NA,NA,NA,16180,280,NA,NA,NA,NA,78,9.6,1510,20,355,11.5
JPL40,pellet,NA,NA,28900,520,16,2.8,710,50,NA,NA,NA,NA,114630,450,NA,NA,NA,NA,NA,NA,NA,NA,96,14.7,NA,NA,264,4.2,63030,160,37,2.2,NA,NA,NA,NA,NA,NA,NA,NA,72320,710,NA,NA,17840,1780,2410,20,NA,NA,NA,NA,NA,NA,70,3.6,429800,920,NA,NA,3150,70,262,8.1,NA,NA,182,3.4,NA,NA,20,4.4,NA,NA,2250,30,NA,NA,255180,660,42,10,1360,10,NA,NA,99,21.1,NA,NA,6180,80,NA,NA,241,36.8,39,3.7,630,10,242,4.6
JPL40,powder,NA,NA,43330,1020,28,7.7,NA,NA,NA,NA,NA,NA,199720,1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,13.5,85920,455,57,6,NA,NA,NA,NA,NA,NA,NA,NA,98260,1590,NA,NA,28820,3490,3990,80,NA,NA,NA,NA,NA,NA,102,10.3,376720,1650,NA,NA,5570,130,317,22.6,NA,NA,189,8.6,NA,NA,NA,NA,NA,NA,3930,50,NA,NA,140090,810,NA,NA,1450,10,NA,NA,NA,NA,NA,NA,10030,250,NA,NA,NA,NA,46,8.8,920,20,62,10.7
JPL43,pellet,NA,NA,33360,480,9,2.2,520,50,NA,NA,NA,NA,54520,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,34.1,448,4.9,59260,130,33,1.9,NA,NA,82,21.2,NA,NA,NA,NA,60530,690,NA,NA,10570,1450,1490,20,NA,NA,NA,NA,23,2.9,46,3,458610,840,NA,NA,1640,50,164,6.8,NA,NA,143,2.9,NA,NA,NA,NA,NA,NA,1820,20,47,9.8,308990,660,55,8.7,760,0,NA,NA,NA,NA,NA,NA,5740,70,NA,NA,159,32.5,42,3.2,419,4.1,337,3.9
JPL43,powder,NA,NA,48670,860,NA,NA,NA,NA,NA,NA,NA,NA,94950,890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,0.001,84590,370,44,4.9,NA,NA,NA,NA,NA,NA,NA,NA,83560,1620,NA,NA,22680,2630,2280,60,NA,NA,NA,NA,39,6.2,69,7.7,421280,1490,NA,NA,3230,100,232,16.6,NA,NA,159,6.8,NA,NA,NA,NA,NA,NA,2980,40,NA,NA,223770,960,NA,NA,810,10,NA,NA,NA,NA,NA,NA,8900,210,NA,NA,290,88,49,7.2,58,0.001,246,8.8
JPL48,pellet,NA,NA,41020,530,21,2.3,670,50,NA,NA,NA,NA,82020,360,NA,NA,NA,NA,NA,NA,NA,NA,107,13.6,NA,NA,166,3.3,63820,150,42,2,NA,NA,NA,NA,NA,NA,NA,NA,65410,680,NA,NA,16930,1570,1980,20,NA,NA,NA,NA,21,3,58,3.2,442450,860,NA,NA,2510,70,169,7,NA,NA,165,3,NA,NA,NA,NA,NA,NA,1640,20,NA,NA,270850,630,280,34.8,1150,0,NA,NA,NA,NA,NA,NA,7380,80,NA,NA,194,35.1,46,3.2,472,4.3,371,4.2
JPL48,powder,NA,NA,50510,1010,30,6.2,NA,NA,NA,NA,NA,NA,163780,1220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,10.1,89310,450,51,5.5,NA,NA,NA,NA,NA,NA,NA,NA,105460,1740,NA,NA,19640,3260,3210,70,NA,NA,NA,NA,NA,NA,49,8.9,385410,1630,NA,NA,5130,130,186,18.8,NA,NA,162,7.4,NA,NA,NA,NA,NA,NA,2960,40,NA,NA,159300,870,NA,NA,1220,10,NA,NA,NA,NA,NA,NA,10690,250,NA,NA,NA,NA,41,7.7,640,10,337,10
JPL50,pellet,NA,NA,34040,620,NA,NA,780,50,NA,NA,NA,NA,96000,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,3.1,54670,140,36,2,NA,NA,98,22.7,NA,NA,NA,NA,65160,700,NA,NA,11880,1890,2870,30,NA,NA,NA,NA,19,3.1,45,3,442840,810,NA,NA,2050,70,221,7.1,NA,NA,137,3,48,7.2,NA,NA,NA,NA,2410,80,NA,NA,277890,670,46,9.3,1370,10,NA,NA,NA,NA,NA,NA,6270,80,NA,NA,235,36.5,43,3.4,510,0,269,4.2
JPL50,powder,NA,NA,47320,970,22,6.7,NA,NA,NA,NA,NA,NA,169990,1190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,10.4,81660,410,51,5.6,NA,NA,NA,NA,NA,NA,NA,NA,91990,1590,NA,NA,23460,3210,4800,90,NA,NA,NA,NA,33,7.3,76,8.5,391860,1600,NA,NA,4300,120,242,19.9,NA,NA,204,8,NA,NA,NA,NA,NA,NA,3860,50,NA,NA,168340,880,NA,NA,1610,10,NA,NA,NA,NA,NA,NA,8810,240,NA,NA,NA,NA,34,8.4,940,20,142,10.5
JPL51,pellet,NA,NA,43250,490,80,2.6,770,40,NA,NA,NA,NA,60550,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,2.6,47080,110,129,2.4,NA,NA,NA,NA,NA,NA,NA,NA,56950,680,NA,NA,10400,1390,1750,20,NA,NA,NA,NA,15,2.8,35,2.6,461130,820,NA,NA,2300,60,265,8.1,NA,NA,132,2.7,NA,NA,NA,NA,NA,NA,2170,20,NA,NA,305660,630,37,8.1,980,0,NA,NA,102,17.4,NA,NA,5180,70,NA,NA,185,32.4,39,3,435,3.9,263,3.7
JPL51,powder,NA,NA,62920,990,28,6.9,NA,NA,NA,NA,NA,NA,126840,1090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,7.8,73710,370,58,5.4,NA,NA,NA,NA,NA,NA,NA,NA,90130,1750,NA,NA,17310,3000,3270,70,NA,NA,NA,NA,NA,NA,47,7.3,410270,1630,NA,NA,3550,110,342,20.1,NA,NA,188,7.6,NA,NA,NA,NA,NA,NA,3640,50,NA,NA,196270,960,NA,NA,1230,10,NA,NA,NA,NA,NA,NA,8840,230,NA,NA,NA,NA,41,7.8,700,10,510,10
JPL52,pellet,NA,NA,35040,510,8,2.3,690,50,NA,NA,NA,NA,94220,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,3,55140,130,36,2,8,1.7,NA,NA,NA,NA,NA,NA,58700,670,NA,NA,14450,1610,2490,20,NA,NA,NA,NA,23,3,37,2.9,445680,880,NA,NA,2360,70,145,6.8,NA,NA,134,3,NA,NA,NA,NA,NA,NA,2010,20,NA,NA,280340,650,NA,NA,1330,0,NA,NA,NA,NA,NA,NA,5900,80,NA,NA,163,35,46,3.3,560,0,393,4.4
JPL52,powder,NA,NA,47230,1060,222,9.8,NA,NA,NA,NA,NA,NA,191650,1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,11,93930,500,59,6.9,NA,NA,NA,NA,NA,NA,NA,NA,86090,1640,NA,NA,24300,3550,4750,90,NA,NA,NA,NA,NA,NA,70,9.4,381920,1700,NA,NA,4680,120,274,23.2,NA,NA,198,0.002,NA,NA,NA,NA,NA,NA,3550,50,NA,NA,146660,860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10940,270,NA,NA,NA,NA,50,10.3,1020,20,433,13.9
JPL58,pellet,NA,NA,36220,500,NA,NA,960,50,NA,NA,NA,NA,87660,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,3.1,46970,110,33,2.1,NA,NA,NA,NA,NA,NA,NA,NA,60950,670,NA,NA,10650,1530,1980,20,11,3.1,NA,NA,25,2.8,44,2.7,449140,850,NA,NA,1810,50,53,0.001,NA,NA,178,2.9,NA,NA,NA,NA,NA,NA,2480,20,NA,NA,288210,640,NA,NA,1000,0,NA,NA,NA,NA,NA,NA,8000,90,NA,NA,261,36.9,52,3.1,2360,10,315,3.9
JPL58,powder,NA,NA,62110,950,17,4.1,1090,60,NA,NA,NA,NA,135710,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,5.4,70390,270,54,3.2,NA,NA,NA,NA,NA,NA,NA,NA,83430,910,NA,NA,20650,2840,2860,40,NA,NA,NA,NA,33,3.9,54,4.4,407090,1360,NA,NA,2780,110,401,11.4,NA,NA,231,4.3,NA,NA,NA,NA,NA,NA,4290,50,NA,NA,184160,820,NA,NA,1130,10,NA,NA,115,21.9,NA,NA,21280,190,NA,NA,NA,NA,53,4.4,1510,10,331,5.7
JPL59,pellet,NA,NA,44500,520,13,2.5,800,50,NA,NA,NA,NA,63220,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,3,49080,110,34,1.9,NA,NA,NA,NA,29,8.9,NA,NA,63240,710,NA,NA,9180,1460,1810,20,NA,NA,NA,NA,23,2.9,48,2.8,456360,840,NA,NA,1940,60,285,7.2,NA,NA,203,2.9,NA,NA,NA,NA,NA,NA,2150,20,NA,NA,297530,650,NA,NA,780,0,NA,NA,NA,NA,NA,NA,7290,80,NA,NA,206,35.5,59,3.2,770,10,290,3.7
JPL59,powder,NA,NA,62990,950,25,4.2,790,60,NA,NA,NA,NA,115580,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,5.6,77880,290,62,3.2,NA,NA,139,27.5,NA,NA,NA,NA,85200,970,NA,NA,22040,2820,3030,40,38,4.5,NA,NA,38,4.1,59,4.7,412310,1380,NA,NA,3290,110,426,12,NA,NA,273,4.6,NA,NA,NA,NA,NA,NA,3810,40,NA,NA,196140,850,NA,NA,970,10,NA,NA,NA,NA,62,7.2,12870,150,NA,NA,NA,NA,68,4.7,1210,10,451,6.2
JPL61,pellet,NA,NA,43840,490,46,2.5,690,50,NA,NA,NA,NA,48450,280,NA,NA,NA,NA,NA,NA,NA,NA,77,12.8,NA,NA,138,2.9,58530,130,45,1.9,7,1.5,NA,NA,NA,NA,NA,NA,56070,680,NA,NA,9740,1360,1670,20,NA,NA,NA,NA,30,2.8,49,2.9,461630,800,NA,NA,1320,50,272,7.6,NA,NA,207,2.9,NA,NA,NA,NA,NA,NA,1720,20,NA,NA,306960,630,NA,NA,620,0,NA,NA,116,17.9,NA,NA,6840,80,NA,NA,109,32.9,80,3.1,493,4.3,274,3.6
JPL61,powder,NA,NA,70520,970,NA,NA,NA,NA,NA,NA,NA,NA,97390,930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,9.3,93130,410,65,6,NA,NA,NA,NA,NA,NA,NA,NA,80650,1700,NA,NA,20370,2650,2990,60,NA,NA,NA,NA,45,7.4,59,9.3,415920,1520,NA,NA,2520,100,440,20.8,NA,NA,281,8.3,NA,NA,44,9.5,NA,NA,3130,40,NA,NA,198740,910,NA,NA,840,10,NA,NA,NA,NA,84,13.4,11330,240,NA,NA,NA,NA,93,8.6,830,10,365,10.4
JPL63,pellet,NA,NA,41540,520,11,2.7,830,50,NA,NA,NA,NA,75550,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,3.1,57080,130,39,2.1,NA,NA,NA,NA,NA,NA,NA,NA,66250,710,NA,NA,12660,1520,2160,20,NA,NA,NA,NA,24,3,46,3,447600,860,NA,NA,1710,60,321,7.6,NA,NA,211,3.1,NA,NA,NA,NA,NA,NA,2470,30,NA,NA,282060,640,39,9.1,960,0,NA,NA,NA,NA,NA,NA,7000,80,NA,NA,201,36,63,3.3,720,10,322,4.1
