sample_id,method,Ag_value_ppm,Ag_err_ppm,Al_value_ppm,Al_err_ppm,As_value_ppm,As_err_ppm,Ba_value_ppm,Ba_err_ppm,Bi_value_ppm,Bi_err_ppm,Br_value_ppm,Br_err_ppm,Ca_value_ppm,Ca_err_ppm,Cd_value_ppm,Cd_err_ppm,Ce_value_ppm,Ce_err_ppm,Cl_value_ppm,Cl_err_ppm,Co_value_ppm,Co_err_ppm,Cr_value_ppm,Cr_err_ppm,Cs_value_ppm,Cs_err_ppm,Cu_value_ppm,Cu_err_ppm,Fe_value_ppm,Fe_err_ppm,Ga_value_ppm,Ga_err_ppm,Ge_value_ppm,Ge_err_ppm,I_value_ppm,I_err_ppm,In_value_ppm,In_err_ppm,Ir_value_ppm,Ir_err_ppm,K_value_ppm,K_err_ppm,La_value_ppm,La_err_ppm,Mg_value_ppm,Mg_err_ppm,Mn_value_ppm,Mn_err_ppm,Mo_value_ppm,Mo_err_ppm,Na_value_ppm,Na_err_ppm,Nb_value_ppm,Nb_err_ppm,Ni_value_ppm,Ni_err_ppm,O_value_ppm,O_err_ppm,Os_value_ppm,Os_err_ppm,P_value_ppm,P_err_ppm,Pb_value_ppm,Pb_err_ppm,Pd_value_ppm,Pd_err_ppm,Rb_value_ppm,Rb_err_ppm,Re_value_ppm,Re_err_ppm,Rh_value_ppm,Rh_err_ppm,Ru_value_ppm,Ru_err_ppm,S_value_ppm,S_err_ppm,Sb_value_ppm,Sb_err_ppm,Si_value_ppm,Si_err_ppm,Sn_value_ppm,Sn_err_ppm,Sr_value_ppm,Sr_err_ppm,Ta_value_ppm,Ta_err_ppm,Te_value_ppm,Te_err_ppm,Th_value_ppm,Th_err_ppm,Ti_value_ppm,Ti_err_ppm,U_value_ppm,U_err_ppm,V_value_ppm,V_err_ppm,Y_value_ppm,Y_err_ppm,Zn_value_ppm,Zn_err_ppm,Zr_value_ppm,Zr_err_ppm
XPAH26,pellet,NA,NA,8700,410,5,1.4,309,29.5,116,4,275,7.2,61990,1580,NA,NA,NA,NA,25620,650,307,11.4,207,9.9,NA,NA,408,10.9,8550,220,33,2.4,NA,NA,NA,NA,NA,NA,61,4.5,NA,NA,NA,NA,15650,1620,294,10.3,760,20,165660,20940,9,1.8,45,2.3,416000,10470,NA,NA,NA,NA,117,5.1,NA,NA,21,1.8,NA,NA,NA,NA,NA,NA,8210,210,32,6,253940,6400,92,6,156,4.3,NA,NA,NA,NA,NA,NA,3110,90,NA,NA,NA,NA,13,1.9,29250,740,64,2.6
XPAH26,powder,NA,NA,14480,700,NA,NA,NA,NA,158,7,379,11,111610,3060,NA,NA,NA,NA,34550,940,476,24.1,91,13.1,NA,NA,750,20,23720,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17460,690,NA,NA,26860,2230,580,20,690,20,109730,24110,NA,NA,82,4.7,391600,10650,NA,NA,NA,NA,105,8.3,NA,NA,28,3.4,NA,NA,NA,NA,NA,NA,14890,410,52,8.6,197530,5400,88,8.5,216,6.7,NA,NA,NA,NA,NA,NA,6520,200,NA,NA,NA,NA,13,3.3,47250,1290,87,4.3
XPAH28,pellet,NA,NA,27650,420,NA,NA,1530,50,NA,NA,203,2.3,50430,270,NA,NA,NA,NA,NA,NA,NA,NA,91,10.3,112,38.4,2110,10,18330,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23720,520,NA,NA,117960,1690,620,10,NA,NA,NA,NA,18,2.6,29,2.1,453540,950,NA,NA,NA,NA,23230,60,NA,NA,89,2.5,NA,NA,NA,NA,NA,NA,2320,30,61,9.3,270790,650,114,8.6,264,2.5,NA,NA,NA,NA,NA,NA,3950,60,NA,NA,102,27.3,NA,NA,2560,10,182,3.1
XPAH28,powder,NA,NA,29440,630,NA,NA,1780,70,NA,NA,319,4.6,96150,550,NA,NA,NA,NA,NA,NA,NA,NA,110,18.3,NA,NA,4220,20,28290,110,NA,NA,NA,NA,NA,NA,87,12.6,NA,NA,23460,680,NA,NA,144880,2210,1080,20,NA,NA,NA,NA,24,4.4,47,3.9,422490,1220,138,24,NA,NA,29430,100,36,6,116,4.7,NA,NA,NA,NA,NA,NA,3110,50,82,14,202630,770,125,13,364,4.7,NA,NA,NA,NA,NA,NA,6500,120,NA,NA,NA,NA,NA,NA,4840,20,207,5.6
XPAH29,pellet,NA,NA,51400,470,10,1.9,520,40,NA,NA,NA,NA,24540,200,NA,NA,NA,NA,NA,NA,NA,NA,75,11.1,NA,NA,62,2,54580,100,36,1.6,NA,NA,NA,NA,NA,NA,NA,NA,52530,640,NA,NA,8320,1090,1110,10,NA,NA,NA,NA,23,2.4,46,2.5,472840,710,NA,NA,680,30,152,5.6,NA,NA,180,2.4,NA,NA,NA,NA,NA,NA,790,20,NA,NA,325310,570,42,7,369,2.5,NA,NA,95,15,NA,NA,5570,60,NA,NA,149,28.2,56,2.6,236,2.8,279,3
XPAH29,powder,NA,NA,90360,1040,39,6.2,NA,NA,NA,NA,NA,NA,45400,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,7.9,104050,430,64,5.3,NA,NA,NA,NA,NA,NA,NA,NA,80700,1690,NA,NA,14520,2500,2200,50,NA,NA,NA,NA,42,6.9,67,9.3,429580,1500,NA,NA,860,70,170,19.5,NA,NA,291,8.1,NA,NA,NA,NA,NA,NA,2180,40,NA,NA,216090,950,NA,NA,540,10,NA,NA,NA,NA,NA,NA,11920,230,NA,NA,NA,NA,88,8.1,466,11.2,256,9.2
XPAH55,pellet,NA,NA,45160,470,6,1.7,630,40,15,3,NA,NA,32350,220,NA,NA,NA,NA,NA,NA,NA,NA,88,11.4,NA,NA,41,1.9,55310,110,29,1.6,NA,NA,NA,NA,NA,NA,NA,NA,47720,620,NA,NA,8320,1150,970,10,NA,NA,NA,NA,17,2.3,33,2.2,472580,720,NA,NA,900,40,108,5.1,NA,NA,136,2.3,NA,NA,NA,NA,NA,NA,530,10,NA,NA,327690,590,38,6.9,484,2.7,NA,NA,NA,NA,NA,NA,5920,70,NA,NA,195,28.4,42,2.5,153,2.3,530,0
XPAH55,powder,NA,NA,64550,790,NA,NA,670,50,NA,NA,NA,NA,60310,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,3.5,94920,250,46,2.9,NA,NA,NA,NA,NA,NA,NA,NA,71740,910,NA,NA,14160,1630,1580,30,NA,NA,NA,NA,40,3.7,46,4.3,433950,980,NA,NA,1530,80,173,9.1,NA,NA,186,4,NA,NA,NA,NA,NA,NA,1040,30,NA,NA,240390,760,NA,NA,630,0,NA,NA,NA,NA,NA,NA,12770,140,NA,NA,273,55.7,88,4.3,225,4.6,620,10
XPAH58,pellet,NA,NA,3720,590,NA,NA,1530,50,NA,NA,NA,NA,341660,490,NA,NA,NA,NA,NA,NA,NA,NA,142,15.9,188,35.3,235,3.9,11550,40,12,1.7,NA,NA,NA,NA,NA,NA,NA,NA,10060,330,NA,NA,NA,NA,455,13.8,NA,NA,NA,NA,11,2.9,73,3.2,404380,420,NA,NA,8060,120,64,6,NA,NA,35,2.6,NA,NA,NA,NA,NA,NA,4820,40,NA,NA,207380,460,NA,NA,315,2.9,NA,NA,68,19,NA,NA,4180,90,NA,NA,NA,NA,27,3,930,10,107,3.4
XPAH58,powder,NA,NA,7970,980,NA,NA,2150,90,NA,NA,NA,NA,532230,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423,8.7,22630,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11030,390,NA,NA,NA,NA,860,30,NA,NA,NA,NA,24,5.4,142,7.6,333120,520,NA,NA,14870,210,105,11.9,NA,NA,52,5.1,NA,NA,NA,NA,NA,NA,8120,70,69,17.5,55390,470,NA,NA,570,10,NA,NA,NA,NA,NA,NA,8360,190,NA,NA,NA,NA,48,6.1,1720,10,112,6.5
