Model,N,R_squared,Adj_R_squared,RMSE_ppm,AIC,BIC
H0: XRF wt% (Lα-based FP),35,0.9803493874717795,0.9797539143648637,431.2531750146433,529.9943704713155,534.6604146557837
Lα1 counts (raw),35,0.9940962650232168,0.9939173639633143,236.37834415913588,487.90605454380295,492.5720987282712
H1a: Lβ1 counts only,35,0.9940392409379344,0.9938586118754476,237.51718814291337,488.2424967632133,492.90854094768156
H1b: Lβ1 + Lβ2 counts,35,0.9940616097511482,0.993881658531486,237.07110640984712,488.1109059470521,492.7769501315204
