Model,R²,RMSE (ppm),Intercept,Slope (SE),AIC,ΔAIC
Cumulative L-lines,0.994,230,-133,0.817 (0.011),485.8,0
FP wt%,0.980,431,-185,"5,732 (141)",530.0,44.2
