term,estimate,std.error,statistic,p.value,Model
(Intercept),-185.11807870277124,80.63061663337079,-2.295878246156882,0.0283817229317629,H0: XRF wt%
Pb_xrf_wt,5732.478118397683,143.56652715626637,39.929071434305236,7.130001078457904e-29,H0: XRF wt%
(Intercept),-147.15769524141598,40.54103367060361,-3.6298456629664164,9.782401039988156e-4,H1b: Lβ1+Lβ2
Pb_Lb_sum,1.607660315697746,0.020171243992478244,79.70060330920762,2.2269501848976076e-38,H1b: Lβ1+Lβ2
