Model,N,R_squared,Adj_R_squared,RMSE_ppm,AIC,BIC
H0: XRF wt% (Lα-based FP),34,0.9803238055441919,0.9797089244674478,437.5446489883396,516.0079756265402,520.5870572003887
Lα1 counts (raw),34,0.9956374578537361,0.9955011284116654,206.02581547761255,464.7919208156679,469.3710023895164
H1a: Lβ1 counts only,34,0.9949675811557813,0.9948103180668995,221.27900704120924,469.6486781363715,474.22775971021997
H1b: Lβ1 + Lβ2 counts,34,0.9949876148410052,0.9948309778047866,220.83812018249017,469.5130565352855,474.092138109134
