Metric,Value
R² (in-sample),0.9940616097511482
R² (LOOCV),0.8397043765784803
R² (Bootstrap OOB median),0.635055965918127
R² 95% CI lower,-16.056328310252457
R² 95% CI upper,0.9437413429189788
RMSE in-sample (ppm),237.0711064098471
RMSE LOOCV (ppm),1231.7004264872387
RMSE Bootstrap median (ppm),350.75512066078494
RMSE 95% CI lower (ppm),82.85202617460912
RMSE 95% CI upper (ppm),3171.070749901622
