conc_bin,n,mean_icpms,mean_pred,mean_diff,sd_diff,mean_pct_diff,sd_pct_diff,mean_abs_error,rmse
<50,1,49.43502825,7.4541501136903445,41.980878136309656,NA,147.58827370621353,NA,41.980878136309656,41.980878136309656
50-100,10,73.294756316,39.440960083881556,33.85379623211845,46.91000568443117,81.40220779726552,60.900349390876436,52.86580620659432,55.91576959416569
200-400,1,208.5216243,173.55488923805135,34.96673506194867,NA,18.303524986738708,NA,34.96673506194867,34.96673506194867
400-1000,4,591.7458106500001,1032.1061811703605,-440.36037052036056,517.4918105169806,-42.99297765777553,42.791616619425895,459.83752534644515,628.3037373666785
>1000,2,10230.634787,10330.112999348632,-99.47821234863056,434.0717467697502,-8.949241936797458,14.248522301398843,306.9350756623802,322.65315030842373
