iteration,n_train,n_oob,r2_oob,rmse_oob,intercept,slope
1,35,13,-48.96904918815747,111.61490030924286,-184.10516271604294,1.6074305800880007
2,35,14,0.4362388006890663,382.17334309375633,-91.42524935003365,1.6179313358902094
3,35,10,-2.9471075203365866,97.71866844119383,-171.69166898845808,1.6022159102328852
4,35,15,-1.0148296100250551,303.96887936127996,-140.88547113542796,1.614608710249821
5,35,10,-1.7412986751993587,372.5090181767222,-131.98907032787787,1.6098742376688695
6,35,13,0.6664265371152833,2834.097883558407,13.835637519375021,0.724046875563849
7,35,11,-1.4265070026138198,394.83563357756714,-118.77151494550539,1.6176179267262147
8,35,14,0.5715132493586877,85.01513790543666,-143.9856140567735,1.6062421750401779
9,35,14,-0.29043612023246745,147.01544256820802,-217.95033424199957,1.5954414602566498
10,35,10,0.6559751327280756,3227.1057118368244,8.572942078873163,0.7256924687048727
11,35,14,0.20571090245374646,156.37501204802368,-236.8389990904621,1.6185692745142006
12,35,12,0.9161197336893713,1467.2623424840283,-38.391214384656756,1.176652603328293
13,35,12,0.9179280981147996,148.8918197124134,-142.75355181318133,1.6099492563805822
14,35,14,-0.9842730991454844,313.274933286334,-143.31524988934459,1.6122572358069103
15,35,13,-1.9869844812677653,372.59800902857546,-100.76906621741942,1.6177054484286333
16,35,11,0.5339571487523136,378.6669110861624,-128.48546518688107,1.6170140107529627
17,35,13,0.9200913717908012,141.3666906373045,-156.18299211280566,1.617448573985528
18,35,9,0.535799163538732,106.31919461978835,-177.5154199850614,1.615206303421419
19,35,15,0.8431526288146862,184.96625840753842,-156.14035194946499,1.6032085171598265
20,35,13,-0.04341748609417406,140.2371148917738,-212.94546086583733,1.6116499394053836
21,35,14,0.2691550493451441,152.875112801921,-216.65336085451162,1.6198562418205982
22,35,13,0.9189901430132837,144.10447812153802,-158.7922612245131,1.6201859007990551
23,35,14,-1.768838879161644,175.88001938265188,-200.50298027292195,1.595189747392268
24,35,17,0.9514170688166987,953.5993319454184,-43.429698772424494,1.2825694895068087
25,35,12,0.918579189139732,147.7308187779874,-195.79859060528293,1.5956014283838167
26,35,15,-30.882206194054,101.36293874677928,-165.8447317722947,1.6195277526367426
27,35,15,-1.70718020552163,333.73282673785644,-134.96929066885767,1.6078473907566988
28,35,15,0.865817009042871,1683.8275702250285,-42.79331514829201,1.0478121814956125
29,35,13,0.26212204045909204,167.37873159180185,-132.1932623024577,1.6171592116102733
30,35,10,0.7728766679179156,2634.1015417547605,-21.957067199882275,0.8888837940596098
31,35,13,-1.7532006949811527,360.7483574013156,-121.22274777192476,1.6106858536306239
32,35,11,0.9227859479708695,151.18298473245608,-151.05392196920212,1.6162917067978464
33,35,16,0.8147858744296999,1915.9064575864147,-28.696868199270774,0.9476309717113764
34,35,14,0.7189826915350994,68.73754514070679,-137.36570526790075,1.6139060759273394
35,35,11,0.5679196475573495,3455.608374109022,7.678765270124156,0.6178974076838544
36,35,13,0.5259766793779206,360.1869018363616,-101.82878382059816,1.6166930434569398
37,35,11,-0.18451990276183095,186.85773876090562,-118.44038192973888,1.6055820196217363
38,35,13,0.904869575802018,1514.705665080584,-57.43649082729574,1.1442849566618198
39,35,10,0.5870820224522352,99.1230929094128,-167.7835447090373,1.6003418478050517
40,35,13,0.7935031177858162,2231.246963031223,-23.499062125832655,0.9137247090836704
41,35,8,-1.7506708676222713,412.71623098441603,-136.1991563983031,1.612271815186976
42,35,12,0.6816003376606454,2862.6464489381756,11.411378526222025,0.7503555590854207
43,35,12,0.9302452527652143,138.35699086282213,-152.01979205214022,1.6099460019600862
44,35,16,0.8299085971278208,190.09226514232782,-214.47866572618602,1.6096824408586359
45,35,14,-0.03648317208246943,129.742530784822,-212.82054149086002,1.6114233522861348
46,35,10,0.48341009005085533,415.8338792349701,-96.3281057559501,1.6178552036631562
47,35,14,0.6719380085338436,2718.2238759044485,28.683600798515688,0.7268817094915815
48,35,11,0.8388015472940029,216.76963608418924,-129.75085170472155,1.610788413946613
49,35,12,0.9494940746976289,1138.2843653948541,-53.1512671809657,1.2818822456453205
50,35,12,0.8347181571036779,2069.221734896684,-31.443991211496893,0.9907398461877438
51,35,13,0.8163389581105918,2104.722957891318,-22.43509514214106,0.9534227401349695
52,35,11,0.9228667548867969,1466.612047464596,-45.444215993422645,1.196599425864398
53,35,12,0.8216014427602113,2156.1029159624904,-25.93824273761955,0.9638492158892842
54,35,13,0.9299866465692412,134.05219868747577,-142.37119051284725,1.6091205134347362
55,35,10,-0.814590329931244,372.4470853645866,-150.71528750446876,1.6168568026528518
56,35,9,0.5014074569442766,429.82196165011976,-105.40033051463084,1.616634094310164
57,35,14,0.9453037702815883,1107.5207774958578,-44.88841952758597,1.2628661928236178
58,35,13,0.5490060157840979,352.31363454956454,-128.406162517917,1.6142067641883944
59,35,10,0.9278615317451082,151.1221981051216,-136.19378278021765,1.609148157056663
60,35,13,0.6484651558371544,2901.442374032657,16.01141410615696,0.7029067353167573
61,35,14,0.8353557381050623,198.98042012636083,-154.4685284175303,1.6136986864309164
62,35,15,0.5260958273152627,339.13373386265886,-97.95870327034768,1.616493606812039
63,35,13,0.7564579679240173,2406.0881220529664,-17.458144844534406,0.8608199381557585
64,35,11,-2.8827301856393293,86.03770172302123,-159.06967600777398,1.6070104580024394
65,35,7,0.9334703142924804,169.4265662347881,-180.79146104235036,1.6016385319178017
66,35,14,0.7499836488302899,2377.822044077484,2.844574129080949,0.837241312547279
67,35,8,-26.718053460952568,108.12486031812294,-167.33648572525087,1.6073114759021778
68,35,15,0.8434742724814375,189.92329024466994,-148.1730997365013,1.6031589657944065
69,35,11,0.92359066911666,151.2335995767613,-175.22901995869515,1.6014561569342034
70,35,18,0.7506918919316437,2105.123338694152,-16.786023437878956,0.8363429706956943
71,35,12,-0.13564963901474236,180.33798862974984,-183.14043671084443,1.6172832061463223
72,35,13,0.5930614638489449,3127.3457406029306,15.838701225488665,0.6326258540502444
73,35,12,-2.0981560112438302,390.55728840703733,-91.2388766205762,1.616813642223228
74,35,15,0.9167280268632925,134.45589772280078,-171.7133241134777,1.6027495132593437
75,35,12,0.9340417551822945,132.7101717451032,-134.12434604566872,1.6088189278740328
76,35,13,0.946164446932454,1135.2270700193208,-49.18555755451705,1.2678790789345158
77,35,15,0.5979244582183689,2910.16478106824,11.732368728683513,0.6335684346138433
78,35,12,-1.381585077332892,381.6143038528288,-112.47895083809193,1.6174645209313496
79,35,9,0.5985031797748177,3637.732476581772,10.917593198914316,0.6646517447701699
80,35,14,-1.0416710563808396,318.4901536517375,-137.0876479584494,1.6178262542965267
81,35,13,0.6905597140981874,100.91976949056789,-168.31207352785907,1.6061374045339045
82,35,15,0.8405413263126519,189.46322859228852,-161.08049903647034,1.617771063685563
83,35,14,0.8472763596037659,191.16453719353598,-146.91338860201208,1.602835680940407
84,35,8,0.7626374423925762,2974.058004843919,-15.242438728421492,0.8809575405172918
85,35,14,-0.6622370929061592,169.2310037600382,-241.44203408740734,1.6202267210891186
86,35,16,0.5545432739180489,318.60713620914424,-135.24884535514218,1.6208364349634437
87,35,16,0.7214504267642434,2346.7441725292892,-1.086083396587387,0.7975070706890639
88,35,10,-1.1560361400825157,372.6714532309234,-139.0543518488559,1.613067905645914
