category	n_genes	median_pvalue	median_omega	mean_omega	min_pvalue
Immune Function	8	0	0.912872134773226	0.83670340484758	0
Neural Crest	8	0	0.899232465669364	915820344.869362	0
Pigmentation	6	0	0.670644931841062	0.76782169869445	0
Craniofacial	4	2.26503815703438e-11	0.455687999238486	0.454628296008317	3.33066907387547e-15
Behavior/Temperament	3	0	0.89784279689359	0.857094485603997	0
Metabolism/Growth	3	8.73934258294184e-12	0.520132837377905	0.516387579386275	0
Cardiovascular	1	0	0.989700691977388	0.989700691977388	0
Stress Response	1	3.49720252756924e-15	0.957115404125352	0.957115404125352	3.49720252756924e-15
