arm,n_thresholds,TP,FN,FP,TN,n_pos,n_neg,n_total,sens,sens_lo,sens_hi,spec,spec_lo,spec_hi,acc,acc_lo,acc_hi
pellet_intensity,6,31,3,5,165,34,170,204,0.9117647058823529,0.7703951343719114,0.9695340563253515,0.9705882352941176,0.9330058600888996,0.9873729786841307,0.9607843137254902,0.9245384603346445,0.9799971461161769
powder_intensity,6,30,4,8,162,34,170,204,0.8823529411764706,0.7337915722962817,0.9532855333511766,0.9529411764705882,0.9099001610494519,0.9759644712695896,0.9411764705882353,0.9000110064905599,0.9660337230900139
pellet_FP,6,28,6,3,167,34,170,204,0.8235294117647058,0.6648626260015725,0.9165103095462769,0.9823529411764705,0.9494077520056106,0.9939805577367453,0.9558823529411765,0.9182942672305487,0.9766186200027109
powder_FP,6,29,5,9,155,34,164,198,0.8529411764705882,0.6987194350454784,0.9355055855521754,0.9451219512195121,0.8990054569513506,0.9708630548325734,0.9292929292929293,0.8848279049173902,0.9574172958122553
