arm,strategy,n_train,n_eval,matrix_slope_full,pearson_r,RMSE_ppm,MAE_ppm,BA_bias_ppm,BA_LOA_range,sens_80,spec_80,sens_200,spec_200,sens_320,spec_320,sens_500,spec_500,sens_800,spec_800,sens_1000,spec_1000
pellet_FP,S1_All_LOOCV,32,32,2.3697836923577023,0.9311666247896003,1826.1222938027113,510.7817706663077,118.59249062982563,7257.588050678159,0.9,0.4090909090909091,1,0.9230769230769231,1,1,1,0.9629629629629629,1,0.9310344827586207,1,0.9333333333333333
pellet_FP,S2_Drop_XPAH28,31,32,1.1282494812643222,0.9901793777054265,1778.9721786583218,386.09958343045594,321.96802811032916,6968.1493424422715,0.8,0.9545454545454546,1,1,1,1,0.6,0.9629629629629629,1,1,1,0.9666666666666667
pellet_FP,S3_Drop_top2,30,32,0.8549055919450881,0.9856576853374921,2140.6855782278335,449.91909116414956,416.8259280140406,8362.573725807042,0.6,0.9545454545454546,1,1,0.8333333333333334,1,0.6,1,1,1,1,0.9666666666666667
pellet_FP,S4_Drop_top3,29,32,1.1297312571912597,0.9906067780563387,1771.5384305659618,372.6309902157815,314.8021256214575,6943.257650918433,0.8,0.9545454545454546,1,1,1,1,0.6,0.9629629629629629,1,1,1,0.9666666666666667
pellet_FP,S5_CapICPMS_1000,30,32,0.8549055919450881,0.9856576853374921,2140.6855782278335,449.91909116414956,416.8259280140406,8362.573725807042,0.6,0.9545454545454546,1,1,0.8333333333333334,1,0.6,1,1,1,1,0.9666666666666667
pellet_FP,S6_CapICPMS_500,27,32,0.867028217281971,0.9906439937383533,2122.9098536225374,438.7681447930687,417.63985260755055,8289.7347307945,0.6,0.9545454545454546,1,1,0.8333333333333334,1,0.6,0.9629629629629629,1,1,1,1
pellet_FP,S7_CooksD,29,32,1.1297312571912597,0.9906067780563387,1771.5384305659618,372.6309902157815,314.8021256214575,6943.257650918433,0.8,0.9545454545454546,1,1,1,1,0.6,0.9629629629629629,1,1,1,0.9666666666666667
pellet_intensity,S1_All_LOOCV,33,33,2.746245355925627,0.9985736136846994,478.4229268359147,130.41559596357595,58.902865588030416,1890.0063287550745,0.9090909090909091,0.8181818181818182,0.8571428571428571,1,1,1,0.8,0.9642857142857143,1,1,1,0.967741935483871
pellet_intensity,S2_Drop_XPAH28,32,33,2.3603257731612493,0.9983031786216171,492.40968721866767,151.9781776532898,92.85657341070274,1925.0058423495502,0.7272727272727273,0.9545454545454546,0.8571428571428571,1,1,1,0.6,0.9642857142857143,1,1,1,0.967741935483871
pellet_intensity,S3_Drop_top2,31,33,1.8209321268925724,0.9984068244510044,1103.5487115108965,262.56291262198647,232.24979697241676,4294.593984054594,0.6363636363636364,0.9545454545454546,0.8571428571428571,1,0.8333333333333334,1,0.6,0.9642857142857143,1,1,1,0.967741935483871
