method,response,kind,n_clay,n_val,cal_R2,cal_RMSE_ppm,matrix_slope,val_pearson_r,val_RMSE_ppm,BA_bias_ppm,BA_LOA_range_ppm
pellet,"Pb_Lb1, Pb_Lb2 (multi)",multi,12,33,0.9986592331036944,14.415924144062679,2.723002598571863,0.998912298409563,151.0679900999803,-1.6601521165099664,601.3319410761418
pellet,Pb_La1,single,12,33,0.9980531559223376,17.37126454918231,2.620981271250455,0.9979156142051527,718.9685099843712,124.72252430612943,2818.6613026223513
pellet,Pb_La2,single,12,32,0.9980608069287492,17.33709681705358,2.619552416295827,0.9979269118255888,725.8450880927625,127.42234911698635,2845.9472043255237
pellet,Pb_La1+Pb_La2 (sum),sum,12,32,0.9980539207200892,17.367852152357685,2.6205270114483747,0.9979173918727584,730.0002749640821,128.1435748309872,2862.2450056317543
pellet,"Pb_Lb1, Pb_Lb3 (multi)",multi,12,33,0.9979896972009591,17.652108481746694,2.6404457681684432,0.9977036147897651,787.4377428545059,141.50864231736674,3083.5841011681914
pellet,Pb_Lb4,single,12,33,0.997888902488644,18.0892264693703,2.6501583677533715,0.9976244079891613,788.5947236706515,138.9678845431667,3090.093667343547
pellet,Pb_Lb2,single,12,33,0.9978737242997611,18.154138193179204,2.6326498528345503,0.9976726959087501,811.4899341439587,140.56130282528886,3181.532553685753
pellet,Pb_Lb1+Lb2+Lb3+Lb4 (sum),sum,12,33,0.9978538476011879,18.238794417830427,2.6333571419515667,0.9976545898752331,815.4953333240824,141.19220768788554,3197.2801637569783
pellet,Pb_Lb1+Pb_Lb2 (sum),sum,12,33,0.9978634261428582,18.1980479133614,2.6320644793860626,0.9976562989366654,816.2474764892617,141.45915376728055,3200.1333372209033
pellet,Pb_Lb1,single,12,33,0.9978585520108348,18.218793547340315,2.631788774148744,0.9976485206398132,818.4881781384743,141.88195026360935,3208.8939532780228
pellet,Pb_Lb1+Pb_Lb3 (sum),sum,12,33,0.9978422934188972,18.287824366800216,2.631223960116093,0.9976451618829697,820.4133815095302,141.91143932142967,3216.654671660867
pellet,Pb_Lb3,single,12,33,0.9976838887392648,18.947222630611193,2.6266944536580996,0.9976197370365947,835.5427620056503,142.08780942171967,3277.6649867303304
powder,"Pb_Lb1, Pb_Lb3 (multi)",multi,12,33,0.9374980465989997,97.86084808148591,0.704582653600728,0.9982542673101943,282.0184262396939,35.753951352447736,1113.5943092100517
powder,Pb_La2,single,12,32,0.9042501389777662,121.12429321927762,0.7207056399364505,0.9903272286266009,1632.9950555917235,308.4321083084878,6386.708008331606
powder,Pb_Lb4,single,12,33,0.9041010972216478,121.21852603379988,0.7299133161348083,0.9891380581557206,1671.2892852286946,310.59586899199525,6537.134668624095
powder,Pb_Lb2,single,12,33,0.9040761313073373,121.23430376590213,0.7310662987235705,0.9890292533082948,1676.2193716100683,311.4965937281754,6556.430031454918
powder,Pb_Lb1+Pb_Lb2 (sum),sum,12,33,0.9042434471036017,121.12852578086147,0.7308806512678588,0.9889625566950814,1679.4722783674513,312.08689797465195,6569.164263216665
powder,Pb_Lb1+Lb2+Lb3+Lb4 (sum),sum,12,33,0.9042189964654707,121.14398937382902,0.7308781630075379,0.988961709641973,1679.5347841752825,312.09677465532536,6569.410060023221
powder,Pb_Lb1,single,12,33,0.9043220404598601,121.07880672098158,0.7307933088209247,0.9889309856878058,1681.0039944747393,312.36482702659094,6575.160532093098
powder,Pb_Lb1+Pb_Lb3 (sum),sum,12,33,0.90428855601125,121.0999918635448,0.7308826792890281,0.9889180137343437,1681.6270915920509,312.4762233411602,6577.601047604064
powder,Pb_Lb3,single,12,33,0.904027906289709,121.26477476272532,0.7315776874723692,0.9888165247623376,1686.4721878842724,313.34233007364713,6596.578145089413
powder,"Pb_Lb1, Pb_Lb2 (multi)",multi,12,33,0.9279540282754847,105.06716921906064,0.6882709083510632,0.9125057213701533,2572.39695367486,470.64628002629655,10067.292957654909
powder,Pb_La1+Pb_La2 (sum),sum,12,32,0.9046669713944041,120.86035758647999,0.7216972335963282,0.9096153033513815,2594.2290818148467,478.86252613231807,10154.55227089777
powder,Pb_La1,single,12,33,0.904712409814413,120.83155141981283,0.7216764718459857,0.8741644085646681,2659.060298488046,482.625561748638,10409.317392708483
