arm,method,n,in_sample_R2,in_sample_RMSE,CV_RMSE,CV_MAE,CV_bias,RMSE_inflation
pellet_FP,pellet,12,0.9950812730712122,27.611640189639612,32.72254905177672,25.719570614838414,-1.9207962212315945,1.18509979222657
pellet_intensity,pellet,12,0.9986592331036944,14.41592414406268,19.45473991736716,12.636371568519241,-0.27503685292871877,1.349531235247222
powder_FP,powder,11,0.912774501335548,115.60694112675708,137.82424508382792,111.6875987535065,-5.37635055338938,1.1921796713980237
powder_intensity,powder,11,0.9374980465989996,97.86084808148593,361.31885718243063,191.3383187604687,-106.55974416681445,3.6921696905954744
