arm,method,n,sens_80,sens_200,sens_320,sens_500,sens_800,sens_1000,spec_80,spec_200,spec_320,spec_500,spec_800,spec_1000,acc_80,acc_200,acc_320,acc_500,acc_800,acc_1000
pellet_FP,pellet,34,0.7272727272727273,0.8571428571428571,1,0.6,1,1,0.9565217391304348,1,1,0.9655172413793104,1,0.96875,0.8823529411764706,0.9705882352941176,1,0.9117647058823528,1,0.9705882352941176
pellet_intensity,pellet,34,0.9090909090909092,0.8571428571428571,1,0.8,1,1,0.9130434782608696,1,1,0.9655172413793104,0.967741935483871,0.96875,0.9117647058823528,0.9705882352941176,1,0.9411764705882352,0.9705882352941176,0.9705882352941176
powder_FP,powder,36,0.9090909090909092,0.8571428571428571,0.8333333333333334,0.6,1,1,0.8,1,1,0.967741935483871,0.9696969696969696,0.9705882352941176,0.8333333333333334,0.9722222222222222,0.9722222222222222,0.9166666666666666,0.9722222222222222,0.9722222222222222
powder_intensity,powder,36,0.8181818181818182,0.8571428571428571,1,0.6,1,1,0.88,1,1,0.967741935483871,0.9696969696969696,0.9705882352941176,0.8611111111111112,0.9722222222222222,1,0.9166666666666666,0.9722222222222222,0.9722222222222222
